Name,Relation1,Identifier1,Constant,InitialLevel,MaxLevel,Notes1,Comments
ISG20,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015671_172 ISG20__nuc
GBP2,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015673_174 GBP2__cyto
IFIT2,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015674_175 IFIT2__cyto
IFI27,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015677_176 IFI27__mito
XAF1,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015680_181 XAF1__cyto
IFITM2,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015682_182 IFITM2__cyto
RNASEL,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015684_183 RNASEL__cyto
IP6K2,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015687_186 IP6K2__nuc
IFITM3,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015688_187 IFITM3__cyto
Mx_space_GTPases_unknown,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015693_173 MX_family__cyto
IRF_space_1-9_unknown,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015695_184 IRF_family__cyto
OAS_space_proteins_unknown,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1015696_188 OAS_family__cyto
ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_complex_nucleus",entityVertex_1015697_161 ISGF3_bound_to_ISRE_promotor_elements__nuc
EGR1,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_1031703_270 EGR1__cyto
ATP_simple_molecule,isDescribedBy,,True,,1,"module=M1,M2,M4CaSQ-computed function: ATP_simple_molecule",entityVertex_113592_12 ATP__cyto
PTPN11,isDescribedBy,,True,,1,"module=M1,M2,M4CaSQ-computed function: PTPN11",entityVertex_162563_158 PTPN11__cyto
EIF2AK2,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_168699_1761 EIF2AK2__cyto
PSMB8,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_174336_190 PSMB8__nuc
KPNA1_cytosol,isDescribedBy,,True,,1,module=M1CaSQ-computed function: KPNA1_cytosol,entityVertex_180612_657 KPNA1__cyto
KPNB1_nucleus,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""ISGF3:KPNA1:KPNB1_complex""|""p-Y701-STAT1:KPNA1:KPNB1_complex""",entityVertex_180714_1739 KPNB1__nuc
KPNB1_cytosol,isDescribedBy,,True,,1,module=M1CaSQ-computed function: KPNB1_cytosol,entityVertex_180733_660 KPNB1__cyto
KPNA1_nucleus,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""ISGF3:KPNA1:KPNB1_complex""|""p-Y701-STAT1:KPNA1:KPNB1_complex""",entityVertex_188865_1737 KPNA1__nuc
PTPN6,isDescribedBy,,True,,1,module=M1CaSQ-computed function: PTPN6,entityVertex_197938_145 PTPN6__cyto
