species	module	degree	in_degree	out_degree	betweenness	closeness	pagerank	eigenvector	hub_score
ABCE1_RNASEL_dimer__mito	M1	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
ABCE1__mito	M1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
ACTA2__cyto	ssc_tier1	4	3	1	0.005375	0.124976	0.002959	0.002035	0.3445
ADAM10_17_Zn2_plus__cyto	M3	2	0	2	0.001418	0.093459	0.000891	0.000017	-0.5077
ADAR__nuc	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
ADP__cyto	M1,M2,M4	26	26	0	0.163259	0.130427	0.021862	0.500053	14.2389
ADP__endo	M2	2	2	0	0.001134	0.101242	0.002426	0.002345	-0.5189
ADP__nuc	M3	2	2	0	0.000001	0.071840	0.001322	0.000000	-0.5637
ANGPT1_TEK_complex__pm	M3	2	2	0	0.002857	0.102351	0.001901	0.000135	-0.4508
ANGPT1__ext	ssc_tier1	1	0	1	0.000000	0.090135	0.000891	0.000020	-0.9116
ANGPT2_TEK_complex__pm	M3	2	2	0	0.002857	0.102351	0.001901	0.000135	-0.4508
ANGPT2__ext	ssc_tier1	1	0	1	0.000000	0.090135	0.000891	0.000020	-0.9116
ARNT__cyto	ssc_tier1	1	0	1	0.000000	0.065185	0.000891	0.000000	-0.9116
ARRB__cyto	M3	1	0	1	0.000000	0.065356	0.000891	0.000000	-0.9116
ATP__cyto	M1,M2,M4	19	0	19	0.078532	0.125081	0.000891	0.388235	8.4546
ATP__endo	M2	2	0	2	0.000024	0.090027	0.000891	0.000768	-0.5628
ATP__nuc	M3	8	0	8	0.000170	0.071995	0.000891	0.000001	1.5303
AcM_UBE2M__cyto	M2	2	2	0	0.000482	0.082365	0.001710	0.000262	-0.5447
Active_PDGF_dimers_AA_AB_BB__ext	M2	1	0	1	0.000000	0.080179	0.000891	0.000003	-0.9116
Active_PDGF_dimers_CC_DD__ext	M2	2	2	0	0.000007	0.005060	0.001971	0.464705	-0.5634
BAFF_BCMA__pm	M4	3	3	0	0.000025	0.006072	0.002406	0.557345	-0.2148
BAFF_BCMA_complex__pm	M4	2	2	0	0.000004	0.004337	0.001649	0.435162	-0.5636
BAMBI__cyto	M2	1	0	1	0.000000	0.100460	0.000891	0.002037	-0.9116
BCAR1__cyto	M2	1	0	1	0.000000	0.073445	0.000891	0.000220	-0.9116
BCMA__ext	ssc_tier1	2	0	2	0.000007	0.005060	0.000891	0.464705	-0.5634
BCR_activated__cell	M4	13	8	5	0.060617	0.105232	0.010643	0.000383	5.6591
BLIMP1__nuc	ssc_tier1	5	4	1	0.008190	0.092936	0.003153	0.000091	0.8037
BLK__cyto	ssc_tier1	1	0	1	0.000000	0.092362	0.000891	0.000056	-0.9116
BST2__ext	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
BTK__cyto	ssc_tier1	1	0	1	0.000000	0.092362	0.000891	0.000056	-0.9116
CBL__cyto	M2,M4	4	2	2	0.003245	0.087729	0.001710	0.002855	0.2603
CD154__pm	ssc_tier1	5	0	5	0.000062	0.082982	0.000891	0.000065	0.4824
CD19__pm	ssc_tier1	4	4	0	0.001658	0.092534	0.003153	0.000085	0.1976
CD22__pm	ssc_tier1	5	0	5	0.000062	0.082982	0.000891	0.000065	0.4824
CD31__pm	ssc_tier1	1	0	1	0.000000	0.117929	0.000891	0.000864	-0.9116
CD40__pm	ssc_tier1	5	0	5	0.000062	0.082982	0.000891	0.000065	0.4824
CD79A__pm	ssc_tier1	1	0	1	0.000000	0.092362	0.000891	0.000056	-0.9116
CD79B__pm	ssc_tier1	1	0	1	0.000000	0.092362	0.000891	0.000056	-0.9116
CDH2__pm	ssc_tier1	3	2	1	0.008415	0.127589	0.001561	0.001469	0.1168
CDH5__pm	ssc_tier1	1	0	1	0.000000	0.117929	0.000891	0.000864	-0.9116
CDH5_repressed__pm	M3	8	8	0	0.087050	0.139752	0.004741	0.005889	4.9645
CDK8_CCNC__nuc	M3	3	2	1	0.000001	0.071840	0.001322	0.000000	-0.2158
CENPB__ext	M4	1	0	1	0.000000	0.116098	0.000891	0.000780	-0.9116
CLCF1__ext	M4	1	0	1	0.000000	0.004018	0.000891	0.288675	-0.9116
CNTFR_CRLF1_CLCF1__cyto	M4	2	2	0	0.000065	0.006210	0.003316	0.500000	-0.5612
CNTFR__cyto	M4	2	0	2	0.000058	0.005693	0.000891	0.408248	-0.5614
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_IL6ST_JAK1_JAK2_TYK2__cyto	M4	3	2	1	0.005642	0.078868	0.001972	0.000002	0.0072
CNTF_CNTFR_CRLF1_CLCF1_CNTFR__cyto	M4	1	0	1	0.000000	0.071411	0.000891	0.000000	-0.9116
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_gp130_JAKs_LIFR_JAKs__cyto	M4	2	2	0	0.000087	0.071667	0.003107	0.000000	-0.5603
CNTF_CNTFR__cyto	M4	2	2	0	0.000036	0.004554	0.002028	0.288675	-0.5623
CNTF__ext	M4	1	0	1	0.000000	0.003416	0.000891	0.149429	-0.9116
CNTN1_NOTCH1_DTX__cyto	M3	3	2	1	0.034892	0.086837	0.002045	0.000003	1.1634
CNTN1__cyto	M3	1	0	1	0.000000	0.077882	0.000891	0.000000	-0.9116
COL1A1__ext	ssc_tier1	10	8	2	0.060144	0.129579	0.005872	0.003161	4.5967
COL1A2__ext	ssc_tier1	1	1	0	0.000000	0.120836	0.001008	0.001317	-0.9116
COL3A1__ext	ssc_tier1	4	2	2	0.004527	0.122069	0.002722	0.002063	0.3110
COL5A1__ext	ssc_tier1	2	2	0	0.001370	0.121474	0.002707	0.001699	-0.5096
COL5A2__ext	ssc_tier1	1	1	0	0.000000	0.120836	0.001008	0.001317	-0.9116
COMP__ecm	ssc_tier1	2	1	1	0.000197	0.120933	0.001008	0.001667	-0.5559
COX_2__er	ssc_tier1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
CREBBP__nuc	M3	3	2	1	0.000695	0.079160	0.001322	0.000001	-0.1884
CRK_CRKL__cyto	M2	1	0	1	0.000000	0.081269	0.000891	0.001438	-0.9116
CRLF1_CLCF1__cyto	M4	3	2	1	0.000065	0.005693	0.002406	0.557678	-0.2133
CRLF1__cyto	M4	1	0	1	0.000000	0.004018	0.000891	0.288675	-0.9116
CTF1_LIFR_JAKs__cyto	M4	2	2	0	0.002857	0.065571	0.002188	0.000000	-0.4508
CTF1__ext	M4	1	0	1	0.000000	0.060333	0.000891	0.000000	-0.9116
CTGF__ext	M2	5	3	2	0.041290	0.139361	0.003245	0.005641	2.1121
CXCL4__ext	M1	2	0	2	0.000849	0.116188	0.000891	0.000837	-0.5302
Class_I_MHC_heavy_chain_MHC_HC__er	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
Cleaved_PDGF_B_peptides__golgi	M2	3	3	0	0.000075	0.011270	0.001631	0.337965	-0.2129
Cleaved_novel_PDGF_fragments__ext	M2	2	2	0	0.000007	0.005060	0.001971	0.464705	-0.5634
DDX58_MAVS__mito	M1	3	2	1	0.005707	0.091346	0.002406	0.000023	0.0097
DDX58__cyto	ssc_tier1	1	0	1	0.000000	0.081490	0.000891	0.000003	-0.9116
DLK1__cyto	M3	1	0	1	0.000000	0.060467	0.000891	0.000000	-0.9116
DLL1_NOTCH1__cyto	M3	2	2	0	0.000022	0.004337	0.002028	0.500000	-0.5629
DLL1__cyto	M3	1	0	1	0.000000	0.003036	0.000891	0.288675	-0.9116
DLL4_NOTCH1__cyto	M3	2	2	0	0.000022	0.004337	0.002028	0.500000	-0.5629
DLL4__cyto	M3	1	0	1	0.000000	0.003036	0.000891	0.288675	-0.9116
DLL_JAG_NOTCH1__cyto	M3	1	0	1	0.000000	0.083260	0.000891	0.000003	-0.9116
DLL_JAG__cyto	M3	1	0	1	0.000000	0.060467	0.000891	0.000000	-0.9116
DNER_NOTCH1_DTX__cyto	M3	3	2	1	0.034892	0.086837	0.002045	0.000003	1.1634
DNER__cyto	M3	1	0	1	0.000000	0.077882	0.000891	0.000000	-0.9116
DTX_ITCH__cyto	M3	3	2	1	0.004242	0.065499	0.001649	0.000000	-0.0481
DTX__cyto	M3	2	0	2	0.006923	0.071547	0.000891	0.000000	-0.2901
Dimeric_TGFB1_TGFBR2_homodimer__cyto	M2	7	4	3	0.020577	0.120301	0.003038	0.035743	1.9891
EDN1_EDNRA_complex__pm	M3	5	3	2	0.016912	0.065758	0.003470	0.000000	1.1484
EDN1__ext	ssc_tier1	2	1	1	0.019408	0.071650	0.001251	0.000000	0.2034
EDNRA__pm	ssc_tier1	1	0	1	0.000000	0.060491	0.000891	0.000000	-0.9116
EDNRB__pm	ssc_tier1	1	0	1	0.000000	0.060491	0.000891	0.000000	-0.9116
EGR1__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
EIF2AK2__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
EP300__nuc	M3	3	2	1	0.000695	0.079160	0.001322	0.000001	-0.1884
Extracellular_matrix_ligands__ext	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
FAP__pm	ssc_tier1	3	2	1	0.008415	0.127589	0.001561	0.001469	0.1168
FBXW7_SKP1_CUL1_RBX1__nuc	M3	2	1	1	0.000000	0.060479	0.002729	0.000000	-0.5637
FKBP1A__cyto	M2	4	4	0	0.000110	0.104024	0.003065	0.014077	0.1364
FN1__ecm	ssc_tier1	5	4	1	0.009002	0.122019	0.003353	0.002056	0.8357
FOSL2_TBX2__nuc	M2	2	2	0	0.002857	0.096849	0.001901	0.000117	-0.4508
FOSL2__nuc	ssc_tier1	3	0	3	0.005792	0.111013	0.000891	0.000779	0.0131
FOXP3__nuc	ssc_tier1	1	0	1	0.000000	0.068280	0.000891	0.000001	-0.9116
FSP1__pm	ssc_tier1	2	2	0	0.000112	0.122218	0.001561	0.001247	-0.5593
FURIN__golgi	M2	7	0	7	0.000502	0.015497	0.000891	0.590095	1.1956
Fibrillin_1__ext	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
GADD34_PP1__cyto	M2	3	2	1	0.000054	0.093634	0.001764	0.004100	-0.2137
GATA3__nuc	ssc_tier1	2	0	2	0.002857	0.068312	0.000891	0.000001	-0.4508
GBP2__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
GDP__cyto	M2	3	3	0	0.002846	0.081401	0.002414	0.001615	-0.1033
GMP__cyto	M3	2	2	0	0.002857	0.052376	0.002623	0.000000	-0.4508
GRB2_1_SOS1__cyto	M2	1	0	1	0.000000	0.081313	0.000891	0.001476	-0.9116
GRB7__cyto	M2	1	0	1	0.000000	0.081136	0.000891	0.001405	-0.9116
GTP__cyto	M2	2	0	2	0.000002	0.073517	0.000891	0.000474	-0.5636
H2O__cyto	M1,M2	7	0	7	0.008285	0.101655	0.000891	0.063659	1.5032
H2O__endo	M2	8	0	8	0.005838	0.097735	0.000891	0.021809	1.7544
HES1_TLE__nuc	M3	2	2	0	0.002857	0.065513	0.004473	0.000000	-0.4508
HES1__nuc	M3	3	2	1	0.005700	0.071702	0.003323	0.000000	0.0095
HES1_gene__nuc	M3	2	0	2	0.000000	0.071667	0.000891	0.000000	-0.5637
HES5__nuc	M3	2	2	0	0.000000	0.071565	0.003323	0.000000	-0.5637
HES5_gene__nuc	M3	2	0	2	0.000000	0.071565	0.000891	0.000000	-0.5637
HEY_Genes__nuc	M3	2	0	2	0.000000	0.071565	0.000891	0.000000	-0.5637
HEY__nuc	M3	2	2	0	0.000000	0.071565	0.003323	0.000000	-0.5637
HIF1A_ARNT__nuc	M3	2	2	0	0.002857	0.071343	0.002009	0.000000	-0.4508
HIF1A__nuc	M3	2	0	2	0.046609	0.087090	0.000891	0.000002	1.2786
HIF1A_active__nuc	M3	4	1	3	0.044213	0.078744	0.001270	0.000000	1.8797
IFI27__mito	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFI35__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFI6__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFIT1__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFIT2__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFIT3__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFIT5__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFITM1__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFITM2__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFITM3__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IFNA1__ext	M1	5	2	3	0.050001	0.118961	0.011007	0.000916	2.4564
IFNAR1_TYK2_TYK2_inhibitors__cyto	M1	3	2	1	0.002857	0.098996	0.002028	0.029133	-0.1029
IFNAR1_TYK2__cyto	M1	2	0	2	0.000000	0.098964	0.000891	0.028587	-0.5637
IFNAR2_JAK1_STAT2_JAK1_2_inhibitors__cyto	M1	3	2	1	0.002857	0.087832	0.001901	0.004877	-0.1029
IFNAR2_JAK1_STAT2__cyto	M1	3	0	3	0.000014	0.087858	0.000891	0.005409	-0.2153
IFNAR2_JAK1_STAT2_type_1_interferon_analogs__cyto	M1	3	2	1	0.002857	0.087832	0.001901	0.004877	-0.1029
IFNAR2_iso2__cyto	M1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
IFNAR2c_UBP43__cyto	M1	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	9	6	3	0.039283	0.113801	0.008903	0.165740	3.4243
IFNA_B_IFNAR2_JAK1_STAT2__cyto	M1	5	4	1	0.016977	0.099292	0.005134	0.027121	1.1510
IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	5	3	2	0.001812	0.103520	0.002489	0.086100	0.5516
IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_p_TYK2__cyto	M1	7	3	4	0.014115	0.117282	0.005227	0.222060	1.7337
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_STAT2__cyto	M1	5	3	2	0.005961	0.111759	0.004665	0.125995	0.7156
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2__cyto	M1	4	3	1	0.000598	0.109229	0.002657	0.133406	0.1557
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_STAT1__cyto	M1	3	3	0	0.000607	0.098248	0.001804	0.040783	-0.1918
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2__cyto	M1	5	2	3	0.001655	0.115739	0.002915	0.188482	0.5453
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_p_STAT1__cyto	M1	9	5	4	0.014422	0.109952	0.002894	0.173136	2.4416
IFNB1__ext	M1	4	1	3	0.060939	0.119341	0.007345	0.000915	2.5408
IFN_alpha_beta_IFNA_B__ext	M1	1	0	1	0.000000	0.087755	0.000891	0.003978	-0.9116
IKBKE__cyto	ssc_tier1	1	0	1	0.000000	0.091235	0.000891	0.000022	-0.9116
IL11RA_IL11__cyto	M4	3	2	1	0.005707	0.071411	0.002406	0.000000	0.0097
IL11RA__cyto	M4	1	0	1	0.000000	0.065242	0.000891	0.000000	-0.9116
IL11__ext	M4	1	0	1	0.000000	0.065242	0.000891	0.000000	-0.9116
IL13RA1__ext	ssc_tier1	1	0	1	0.000000	0.086261	0.000891	0.000022	-0.9116
IL13__ext	ssc_tier1	3	0	3	0.008433	0.111136	0.000891	0.000788	0.1175
IL13_complex__pm	M4	4	3	1	0.005711	0.097385	0.002280	0.000152	0.3578
IL31_IL31RA_JAK1_OSMR_JAK1__cyto	M4	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
IL31_IL31RA_JAK1__cyto	M4	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
IL4R__ext	ssc_tier1	2	0	2	0.000022	0.086361	0.000891	0.000027	-0.5629
IL4_IL4R_complex__pm	M4	3	2	1	0.002875	0.086436	0.002028	0.000034	-0.1022
IL4__ext	ssc_tier1	1	0	1	0.000000	0.077559	0.000891	0.000005	-0.9116
IL6RA_IL6_IL6RB_JAKs__cyto	M4	2	2	0	0.008528	0.078785	0.003261	0.000002	-0.2266
IL6R_IL6R_inhibitors__cyto	M4	3	2	1	0.002857	0.096505	0.002028	0.000036	-0.1029
IL6R__cyto	M4	2	0	2	0.000000	0.096474	0.000891	0.000036	-0.5637
IL6R_inhibitors__ext	M4	1	0	1	0.000000	0.085570	0.000891	0.000005	-0.9116
IL6R_iso2__ext	M4	1	0	1	0.000000	0.096411	0.000891	0.000030	-0.9116
IL6ST_JAK1_JAK2_TYK2__cyto	M4	6	2	4	0.052597	0.087806	0.001523	0.000011	2.9069
IL6ST__cyto	M4	2	0	2	0.005700	0.078744	0.000891	0.000002	-0.3384
IL6ST_iso2__ext	M4	1	0	1	0.000000	0.086088	0.000891	0.000005	-0.9116
IL6_IL6RA_IL6RB_JAKs__cyto	M4	2	2	0	0.027143	0.097799	0.003921	0.000032	0.5092
IL6_IL6R_2_IL6ST_2__ext	M4	3	2	1	0.002857	0.097163	0.002430	0.000037	-0.1029
IL6_IL6R_2__ext	M4	4	2	2	0.037446	0.110520	0.001838	0.000207	1.6122
IL6_IL6R__cyto	M4	4	3	1	0.037741	0.110520	0.003183	0.000207	1.6239
IL6_Tyrosine_phosphorylated_hexameric_IL_6_receptor_Activated_JAKs_p_Y546_Y584_PTPN11__cyto	M4	2	2	0	0.000414	0.107967	0.001417	0.074209	-0.5474
IL6__ext	M4	4	0	4	0.083113	0.126831	0.000891	0.001304	3.4173
IL6_receptor_hexamer_Activated_JAKs__cyto	M4	4	2	2	0.000453	0.114850	0.001632	0.169804	0.1499
IL6_receptor_hexamer_JAKs__cyto	M4	3	1	2	0.002857	0.111385	0.001649	0.100424	-0.1029
IL6_receptor_trimer_JAKs__cyto	M4	1	0	1	0.000000	0.097069	0.000891	0.014731	-0.9116
IL6_sIL6R_IL6RB_JAKs__cyto	M4	3	3	0	0.027150	0.097799	0.004062	0.000037	0.8573
IP6K2__nuc	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
IRF3_p__nuc	M1	5	4	1	0.028153	0.103771	0.007593	0.000147	1.5928
IRF4__nuc	ssc_tier1	5	4	1	0.008190	0.092936	0.003153	0.000091	0.8037
IRF7__cyto	ssc_tier1	1	0	1	0.000000	0.090792	0.000891	0.000023	-0.9116
IRF7_p__nuc	M1	7	6	1	0.017035	0.103198	0.005437	0.000154	1.8490
IRF9__cyto	M1	1	0	1	0.000000	0.076645	0.000891	0.000571	-0.9116
IRF_family__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
ISG15__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
ISG20__nuc	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
ISGF3_KPNA1_KPNB1__cyto	M1	3	0	3	0.000898	0.023719	0.000891	0.008627	-0.1803
ISGF3__cyto	M1	2	2	0	0.002857	0.085302	0.002929	0.003893	-0.4508
ISGF3__nuc	M1	2	1	1	0.001082	0.032284	0.001144	0.066199	-0.5209
ISGF3_bound_to_ISRE_promotor_elements__nuc	M1	29	2	27	0.002522	0.048427	0.001890	0.516565	8.9289
ISG_signature__nuc	M1	29	0	29	0.001512	0.043858	0.000891	0.516442	8.8890
ITCH__cyto	M3	2	0	2	0.000141	0.060638	0.000891	0.000000	-0.5582
JAG1_NOTCH1__cyto	M3	2	2	0	0.011342	0.065816	0.001396	0.000000	-0.1154
JAG1__cyto	M3	2	0	2	0.008528	0.060614	0.000891	0.000000	-0.2266
JAG2_NOTCH1__cyto	M3	2	2	0	0.002857	0.065729	0.001775	0.000000	-0.4508
JAG2__cyto	M3	1	0	1	0.000000	0.060467	0.000891	0.000000	-0.9116
JAK1_2_inhibitors__cyto	M1	1	0	1	0.000000	0.078681	0.000891	0.000715	-0.9116
JAK1_JAK2_TYK2__cyto	M4	3	0	3	0.022410	0.079014	0.000891	0.000002	0.6700
JAK1__cyto	M4	1	0	1	0.000000	0.086336	0.000891	0.000029	-0.9116
JAK1_inhibited__cyto	M1	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
JAK2__cyto	M4	1	0	1	0.000000	0.086336	0.000891	0.000029	-0.9116
JAKs_LIFR__cyto	M4	5	2	3	0.014221	0.071771	0.001901	0.000000	1.0421
JAKs_OSMR__cyto	M4	2	2	0	0.002857	0.071565	0.001901	0.000000	-0.4508
KDR__ext	ssc_tier1	1	0	1	0.000000	0.060442	0.000891	0.000000	-0.9116
KPNA1__cyto	M1	1	0	1	0.000000	0.003795	0.000891	0.353553	-0.9116
KPNA1__nuc	M1	2	2	0	0.000231	0.018160	0.001396	0.001124	-0.5546
KPNB1__cyto	M1	1	0	1	0.000000	0.003373	0.000891	0.270598	-0.9116
KPNB1__nuc	M1	2	2	0	0.000231	0.018160	0.001396	0.001124	-0.5546
LAP1_binding_integrins__cyto	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
LAP3_binding_integrins__cyto	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
LAP__ecm	ssc_tier1	1	0	1	0.000000	0.123124	0.000891	0.002812	-0.9116
LIFR_JAKs_OSMR_JAKs__cyto	M4	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
LIFR__cyto	M4	1	0	1	0.000000	0.065542	0.000891	0.000000	-0.9116
LIF_LIFR_JAKs__cyto	M4	2	2	0	0.002857	0.065571	0.002188	0.000000	-0.4508
LIF_OSM_CTF1_receptor_complex__cyto	M4	1	0	1	0.000000	0.065185	0.000891	0.000000	-0.9116
LIF_OSM_receptor_complex_gp130__cyto	M4	2	2	0	0.002857	0.071343	0.002028	0.000000	-0.4508
LIF__ext	M4	1	0	1	0.000000	0.060333	0.000891	0.000000	-0.9116
LOXL2__ecm	ssc_tier1	2	1	1	0.000359	0.121228	0.001008	0.001553	-0.5496
LOX__ecm	ssc_tier1	2	1	1	0.000359	0.121228	0.001008	0.001553	-0.5496
LTBP1_LTBP3_TGFB_LAP__ext	M2	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
LTBP1_LTBP3__ext	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
LTBP1_TGFB1_LAP1_LAP1_binding_integrins__cyto	M2	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
LTBP1_TGFB1_LAP1__ext	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
