species	detected_community	manual_module
ABCE1_RNASEL_dimer__mito	26	M1
ABCE1__mito	26	M1
ACTA2__cyto	1	ssc_tier1
ADAM10_17_Zn2_plus__cyto	2	M3
ADAR__nuc	5	M1
ADP__cyto	0	M1,M2,M4
ADP__endo	3	M2
ADP__nuc	6	M3
ANGPT1_TEK_complex__pm	23	M3
ANGPT1__ext	23	ssc_tier1
ANGPT2_TEK_complex__pm	23	M3
ANGPT2__ext	23	ssc_tier1
ARNT__cyto	7	ssc_tier1
ARRB__cyto	2	M3
ATP__cyto	0	M1,M2,M4
ATP__endo	3	M2
ATP__nuc	6	M3
AcM_UBE2M__cyto	11	M2
Active_PDGF_dimers_AA_AB_BB__ext	14	M2
Active_PDGF_dimers_CC_DD__ext	21	M2
BAFF_BCMA__pm	24	M4
BAFF_BCMA_complex__pm	24	M4
BAMBI__cyto	3	M2
BCAR1__cyto	9	M2
BCMA__ext	24	ssc_tier1
BCR_activated__cell	8	M4
BLIMP1__nuc	8	ssc_tier1
BLK__cyto	8	ssc_tier1
BST2__ext	5	M1
BTK__cyto	8	ssc_tier1
CBL__cyto	11	M2,M4
CD154__pm	8	ssc_tier1
CD19__pm	8	ssc_tier1
CD22__pm	8	ssc_tier1
CD31__pm	1	ssc_tier1
CD40__pm	8	ssc_tier1
CD79A__pm	8	ssc_tier1
CD79B__pm	8	ssc_tier1
CDH2__pm	1	ssc_tier1
CDH5__pm	1	ssc_tier1
CDH5_repressed__pm	1	M3
CDK8_CCNC__nuc	6	M3
CLCF1__ext	18	M4
CNTFR_CRLF1_CLCF1__cyto	18	M4
CNTFR__cyto	18	M4
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_IL6ST_JAK1_JAK2_TYK2__cyto	4	M4
CNTF_CNTFR_CRLF1_CLCF1_CNTFR__cyto	4	M4
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_gp130_JAKs_LIFR_JAKs__cyto	4	M4
CNTF_CNTFR__cyto	18	M4
CNTF__ext	18	M4
CNTN1_NOTCH1_DTX__cyto	2	M3
CNTN1__cyto	2	M3
COL1A1__ext	1	ssc_tier1
COL1A2__ext	1	ssc_tier1
COL3A1__ext	1	ssc_tier1
COL5A1__ext	1	ssc_tier1
COL5A2__ext	1	ssc_tier1
COMP__ecm	1	ssc_tier1
COX_2__er	36	ssc_tier1
