community	module	n_community	n_module	n_intersection	expected	fold_enrichment	pvalue	padj	significant
5	M4	31	75	31	4.3	7.21	4.182e-30	2.426e-28	true
2	M3	37	93	35	6.36	5.5	1.734e-27	5.029e-26	true
6	M1	30	91	30	5.05	5.95	6.099e-26	1.179e-24	true
7	M3	28	93	28	4.81	5.82	8.436e-24	1.223e-22	true
4	M2	34	186	34	11.69	2.91	1.987e-17	2.305e-16	true
1	ssc_tier1	56	88	34	9.11	3.73	5.036e-16	4.868e-15	true
9	M2	22	186	22	7.56	2.91	2.663e-11	2.207e-10	true
8	M3	28	93	19	4.81	3.95	1.053e-09	7.631e-09	true
11	M2	15	186	15	5.16	2.91	7.551e-08	4.858e-07	true
10	M2	21	186	19	7.22	2.63	8.376e-08	4.858e-07	true
3	ssc_tier1	35	88	18	5.69	3.16	5.76e-07	3.037e-06	true
12	M2	13	186	13	4.47	2.91	7.061e-07	3.413e-06	true
18	M4	7	75	7	0.97	7.21	7.668e-07	3.421e-06	true
16	M1	7	91	7	1.18	5.95	3.127e-06	1.296e-05	true
0	M1	66	91	25	11.1	2.25	8.127e-06	3.142e-05	true
20	M1	6	91	6	1.01	5.95	1.968e-05	7.135e-05	true
19	ssc_tier1	7	88	6	1.14	5.27	9.73e-05	0.000332	true
21	M1	5	91	5	0.84	5.95	0.0001227	0.0003953	true
23	M3	5	93	5	0.86	5.82	0.0001371	0.0004185	true
14	M2	8	186	8	2.75	2.91	0.0001765	0.000512	true
17	M2	7	186	7	2.41	2.91	0.0005266	0.001455	true
15	M4	8	75	5	1.11	4.51	0.001806	0.004761	true
34	M4	3	75	3	0.42	7.21	0.002573	0.006218	true
35	M4	3	75	3	0.42	7.21	0.002573	0.006218	true
13	ssc_tier1	11	88	6	1.79	3.35	0.003665	0.008503	true
27	M1	3	91	3	0.5	5.95	0.004629	0.009602	true
28	M1	3	91	3	0.5	5.95	0.004629	0.009602	true
22	M2	5	186	5	1.72	2.91	0.004635	0.009602	true
26	M2	4	186	4	1.38	2.91	0.01368	0.02735	true
13	M1	11	91	5	1.85	2.7	0.02413	0.04631	true
8	ssc_tier1	28	88	9	4.55	1.98	0.02538	0.04631	true
0	M4	66	75	15	9.15	1.64	0.02555	0.04631	true
24	ssc_tier1	5	88	3	0.81	3.69	0.03252	0.05548	false
25	ssc_tier1	5	88	3	0.81	3.69	0.03252	0.05548	false
29	M2	3	186	3	1.03	2.91	0.04021	0.0598	false
30	M2	3	186	3	1.03	2.91	0.04021	0.0598	false
31	M2	3	186	3	1.03	2.91	0.04021	0.0598	false
32	M2	3	186	3	1.03	2.91	0.04021	0.0598	false
33	M2	3	186	3	1.03	2.91	0.04021	0.0598	false
36	ssc_tier1	3	88	2	0.49	4.1	0.07026	0.09939	false
37	ssc_tier1	3	88	2	0.49	4.1	0.07026	0.09939	false
3	crosstalk	35	2	1	0.13	7.73	0.1253	0.1699	false
15	ssc_tier1	8	88	3	1.3	2.31	0.126	0.1699	false
25	M4	5	75	2	0.69	2.89	0.1435	0.1892	false
1	crosstalk	56	2	1	0.21	4.83	0.1965	0.2488	false
3	M4	35	75	7	4.85	1.44	0.1973	0.2488	false
24	M3	5	93	2	0.86	2.33	0.2058	0.254	false
36	M1	3	91	1	0.5	1.98	0.4251	0.5123	false
37	M3	3	93	1	0.52	1.94	0.4328	0.5123	false
0	M2	66	186	21	22.69	0.93	0.7253	0.8167	false
19	M1	7	91	1	1.18	0.85	0.7267	0.8167	false
3	M1	35	91	5	5.89	0.85	0.7323	0.8167	false
1	M2	56	186	17	19.25	0.88	0.7921	0.8668	false
10	M4	21	75	1	2.91	0.34	0.9592	0.9999	false
2	ssc_tier1	37	88	2	6.02	0.33	0.9904	0.9999	false
1	M3	56	93	3	9.63	0.31	0.9986	0.9999	false
3	M2	35	186	4	12.03	0.33	0.9997	0.9999	false
1	M4	56	75	1	7.76	0.13	0.9999	0.9999	false
