rank	species	module	hub_score	degree	betweenness
1	ISGF3_bound_to_ISRE_promotor_elements__nuc	M1	9.5690	29	0.004671
2	ISG_signature__nuc	M1	8.8327	28	0.002387
3	PDGF_Phospho_PDGF_receptor_dimer__cyto	M2	7.9077	10	0.033573
4	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.7143	7	0.032674
5	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	6.1355	9	0.025212
6	NOTCH1_Coactivator_Complex__nuc	M3	5.5318	10	0.019637
7	IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_p_STAT1__cyto	M1	3.8539	9	0.011828
8	NICD1__nuc	M3	3.7783	5	0.019521
9	IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_p_TYK2__cyto	M1	3.4280	7	0.013398
10	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.1961	10	0.005936
11	TGFB1_TGFBR2_TGFBR1__cyto	M2	3.0956	5	0.015517
12	NOTCH1_DTX__cyto	M3	3.0132	5	0.015033
13	Dimeric_TGFB1_TGFBR2_homodimer__cyto	M2	2.9262	7	0.010455
14	NICD1__cyto	M3	2.8611	3	0.018209
15	TGFB1_p_TGFBR_ZFYVE9_SMAD2_3__endo	M2	2.6199	5	0.012726
16	NICD1_RBPJ_SNW1__nuc	M3	2.5956	3	0.016652
17	gamma_secretase_complex__cyto	M3	2.5133	3	0.016169
18	IFNA_B_IFNAR2_JAK1_STAT2__cyto	M1	2.4835	5	0.011926
19	NOTCH1__cyto	M3	2.4790	6	0.009866
20	NICD1_DTX__cyto	M3	2.4275	3	0.015666
