reaction_id	module	n_gene_pairs	verdict	matched_backbone_pairs
ssc_M1_001	M1	0	no-gene-pair	
ssc_M1_002	M1	0	no-gene-pair	
ssc_M1_003	M1	2	novel	
ssc_M1_004	M1	1	novel	
ssc_M1_005	M1	2	novel	
ssc_M1_006	M1	2	novel	
ssc_M1_007	M1	1	novel	
ssc_M1_008	M1	2	novel	
ssc_M1_009	M1	3	novel	
ssc_M1_010	M1	0	no-gene-pair	
ssc_M1_011	M1	0	no-gene-pair	
ssc_M1_012	M1	0	no-gene-pair	
ssc_M2_001	M2	2	in-reactome	LTBP1->TGFB1
ssc_M2_002	M2	2	novel	
ssc_M2_003	M2	2	in-reactome	TGFB1->TGFBR2;TGFB1->TGFBR1
ssc_M2_004	M2	3	novel	
ssc_M2_005	M2	2	novel	
ssc_M2_006	M2	2	novel	
ssc_M2_007	M2	2	novel	
ssc_M2_008	M2	2	novel	
ssc_M2_009	M2	2	novel	
ssc_M2_010	M2	2	novel	
ssc_M2_011	M2	0	no-gene-pair	
ssc_M2_012	M2	2	novel	
ssc_M2_013	M2	2	novel	
ssc_M2_014	M2	4	novel	
ssc_M2_015	M2	4	novel	
ssc_M2_016	M2	8	novel	
ssc_M2_017	M2	4	novel	
ssc_M2_018	M2	2	novel	
ssc_M2_019	M2	2	novel	
ssc_M2_020	M2	0	no-gene-pair	
ssc_M2_021	M2	0	no-gene-pair	
ssc_M2_022	M2	0	no-gene-pair	
ssc_M3_001	M3	4	novel	
ssc_M3_002	M3	0	no-gene-pair	
ssc_M3_003	M3	1	novel	
ssc_M3_004	M3	0	no-gene-pair	
ssc_M3_005	M3	1	novel	
ssc_M3_006	M3	0	no-gene-pair	
ssc_M3_007	M3	2	novel	
ssc_M3_008	M3	2	novel	
ssc_M3_009	M3	2	novel	
ssc_M3_010	M3	6	novel	
ssc_M3_011	M3	2	novel	
ssc_M3_012	M3	8	novel	
ssc_M3_013	M3	0	no-gene-pair	
ssc_M3_014	M3	0	no-gene-pair	
ssc_M4_001	M4	2	novel	
ssc_M4_002	M4	2	novel	
ssc_M4_003	M4	5	novel	
ssc_M4_004	M4	0	no-gene-pair	
ssc_M4_005	M4	3	novel	
ssc_M4_006	M4	0	no-gene-pair	
ssc_M4_007	M4	6	novel	
ssc_M4_008	M4	0	no-gene-pair	
ssc_M4_009	M4	12	novel	
ssc_M4_010	M4	5	novel	
ssc_M4_011	M4	0	no-gene-pair	
ssc_crosstalk_001	crosstalk	0	no-gene-pair	
ssc_crosstalk_002	crosstalk	0	no-gene-pair	
ssc_crosstalk_003	crosstalk	2	novel	
ssc_crosstalk_004	crosstalk	2	novel	
ssc_crosstalk_005	crosstalk	4	novel	
ssc_crosstalk_006	crosstalk	6	novel	
ssc_crosstalk_007	crosstalk	0	no-gene-pair	
ssc_crosstalk_008	crosstalk	1	novel	
ssc_M2_023	M2	8	novel	
ssc_M2_024	M2	6	novel	
ssc_M2_025	M2	2	novel	
ssc_M3_015	M3	2	novel	
ssc_M3_016	M3	2	novel	
ssc_M3_017	M3	2	novel	
ssc_M3_018	M3	6	novel	
ssc_M3_019	M3	2	novel	
ssc_M3_020	M3	2	novel	
ssc_M3_021	M3	2	novel	
ssc_M4_012	M4	7	novel	
ssc_M4_013	M4	0	no-gene-pair	
ssc_M4_014	M4	30	novel	
ssc_M4_015	M4	0	no-gene-pair	
ssc_M1_013	M1	0	no-gene-pair	
ssc_M1_014	M1	2	novel	
ssc_M3_022	M3	4	novel	
ssc_M1_015	M1	1	novel	
ssc_M4_016	M4	0	no-gene-pair	
ssc_M1_016	M1	1	novel	
ssc_M1_017	M1	1	novel	
ssc_M2_026	M2	0	no-gene-pair	
ssc_M2_027	M2	0	no-gene-pair	
ssc_M2_028	M2	0	no-gene-pair	
ssc_M3_023	M3	1	novel	
ssc_M3_024	M3	0	no-gene-pair	
ssc_M2_029	M2	1	novel	
ssc_M2_030	M2	0	no-gene-pair	
ssc_M4_017	M4	0	no-gene-pair	
ssc_M1_018	M1	1	novel	
ssc_M1_019	M1	0	no-gene-pair	
ssc_M2_031	M2	2	novel	
ssc_M2_032	M2	1	novel	
ssc_M3_025	M3	6	novel	
ssc_M2_033	M2	1	novel	
ssc_M2_034	M2	2	novel	
ssc_M2_035	M2	0	no-gene-pair	
ssc_M2_036	M2	0	no-gene-pair	
ssc_M2_037	M2	1	novel	
ssc_M2_038	M2	0	no-gene-pair	
ssc_M2_039	M2	0	no-gene-pair	
ssc_M2_040	M2	0	no-gene-pair	
