species_id	module	nearest_sink_distance	to_M1_ISG_signature	to_M2_ECM_myofibroblast	to_M3_vascular_remodelling	to_M4_Th2_autoAb_output	is_sink
ABCE1_RNASEL_dimer__mito	M1	-1	-1	-1	-1	-1	no
ABCE1__mito	M1	-1	-1	-1	-1	-1	no
ACTA2__cyto	ssc_tier1	0	-1	0	2	2	yes
ADAM10_17_Zn2_plus__cyto	M3	2	-1	4	2	5	no
ADAR__nuc	M1	1	1	-1	-1	4	no
ADP__cyto	M1,M2,M4	1	-1	3	4	1	no
ADP__endo	M2	4	-1	5	5	4	no
ADP__nuc	M3	1	-1	6	1	7	no
ANGPT1__ext	ssc_tier1	-1	-1	-1	-1	-1	no
ANGPT2__ext	ssc_tier1	-1	-1	-1	-1	-1	no
ARNT__cyto	ssc_tier1	-1	-1	-1	-1	-1	no
ARRB__cyto	M3	4	-1	6	4	7	no
ATP__cyto	M1,M2,M4	1	-1	3	4	1	no
ATP__endo	M2	4	-1	5	5	4	no
ATP__nuc	M3	1	-1	6	1	7	no
AcM_UBE2M__cyto	M2	4	-1	6	7	4	no
Active_PDGF_dimers_AA_AB_BB__ext	M2	4	-1	4	6	4	no
Active_PDGF_dimers_CC_DD__ext	M2	-1	-1	-1	-1	-1	no
BAFF_BCMA_complex__pm	M4	-1	-1	-1	-1	-1	no
BAMBI__cyto	M2	3	-1	4	4	3	no
BCAR1__cyto	M2	5	-1	7	8	5	no
BCMA__ext	ssc_tier1	-1	-1	-1	-1	-1	no
BCR_activated__cell	M4	3	-1	3	5	3	no
BLIMP1__nuc	ssc_tier1	-1	-1	-1	-1	-1	no
BLK__cyto	ssc_tier1	4	-1	4	6	4	no
BST2__ext	M1	1	1	-1	-1	4	no
BTK__cyto	ssc_tier1	4	-1	4	6	4	no
CBL__cyto	M2,M4	3	-1	5	6	3	no
CD154__pm	ssc_tier1	-1	-1	-1	-1	-1	no
CD19__pm	ssc_tier1	-1	-1	-1	-1	-1	no
CD22__pm	ssc_tier1	-1	-1	-1	-1	-1	no
CD31__pm	ssc_tier1	-1	-1	-1	-1	-1	no
CD40__pm	ssc_tier1	-1	-1	-1	-1	-1	no
CD79A__pm	ssc_tier1	4	-1	4	6	4	no
CD79B__pm	ssc_tier1	4	-1	4	6	4	no
CDH2__pm	ssc_tier1	2	-1	2	2	3	no
CDH5__pm	ssc_tier1	2	-1	3	2	4	no
CDH5_repressed__pm	M3	2	-1	2	2	3	no
CDK8_CCNC__nuc	M3	1	-1	6	1	7	no
CLCF1__ext	M4	-1	-1	-1	-1	-1	no
CNTFR_CRLF1_CLCF1__cyto	M4	-1	-1	-1	-1	-1	no
CNTFR__cyto	M4	-1	-1	-1	-1	-1	no
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_IL6ST_JAK1_JAK2_TYK2__cyto	M4	4	-1	4	6	4	no
CNTF_CNTFR_CRLF1_CLCF1_CNTFR__cyto	M4	4	-1	4	6	4	no
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_gp130_JAKs_LIFR_JAKs__cyto	M4	5	-1	5	7	5	no
CNTF_CNTFR__cyto	M4	-1	-1	-1	-1	-1	no
CNTF__ext	M4	-1	-1	-1	-1	-1	no
CNTN1_NOTCH1_DTX__cyto	M3	2	-1	4	2	5	no
CNTN1__cyto	M3	3	-1	5	3	6	no
COL1A1__ext	ssc_tier1	0	-1	0	2	1	yes
COL1A2__ext	ssc_tier1	-1	-1	-1	-1	-1	no
COL3A1__ext	ssc_tier1	0	-1	0	2	2	yes
COL5A1__ext	ssc_tier1	-1	-1	-1	-1	-1	no
COL5A2__ext	ssc_tier1	-1	-1	-1	-1	-1	no
COMP__ecm	ssc_tier1	0	-1	0	2	2	yes
COX-2__er	ssc_tier1	-1	-1	-1	-1	-1	no
CREBBP__nuc	M3	1	-1	5	1	6	no
CRK_CRKL__cyto	M2	4	-1	6	7	4	no
CRLF1_CLCF1__cyto	M4	-1	-1	-1	-1	-1	no
CRLF1__cyto	M4	-1	-1	-1	-1	-1	no
CTF1_LIFR_JAKs__cyto	M4	6	-1	6	8	6	no
CTF1__ext	M4	6	-1	6	8	6	no
CTGF__ext	M2	0	-1	0	2	2	yes
CXCL4__ext	M1	2	-1	2	4	2	no
Class_I_MHC_heavy_chain_MHC_HC__er	M1	1	1	-1	-1	4	no
