leiden	marker_label	celltypist_majority	n_cells
0	fibroblast	F2	12310
1	fibroblast	F2	622
2	T_lymphocyte	Melanocyte	1029
3	keratinocyte	Differentiated_KC	4735
4	keratinocyte	Differentiated_KC	8742
5	keratinocyte	Undifferentiated_KC	10889
6	keratinocyte	Differentiated_KC	381
7	T_lymphocyte	Differentiated_KC	2213
8	T_lymphocyte	Th	3116
9	keratinocyte	Differentiated_KC	611
10	endothelial_vascular	VE3	6807
11	myofibroblast_FAP_CTHRC1	Pericyte_2	7254
12	myofibroblast_FAP_CTHRC1	Pericyte_2	1463
13	macrophage_dermal	Melanocyte	556
14	macrophage_dermal	Macro_2	2905
15	macrophage_dermal	Mast_cell	578
