dataset	tissue	cluster	hgnc	species_id	module	log2fc
tabib2021	skin	T_lymphocyte	CNKSR1			31.002
tabib2021	skin	T_lymphocyte	RBBP4			0.792
tabib2021	skin	T_lymphocyte	CDC20			3.760
tabib2021	skin	T_lymphocyte	IFI44L			2.534
tabib2021	skin	T_lymphocyte	ZNF326			-0.888
tabib2021	skin	T_lymphocyte	DR1			0.747
tabib2021	skin	T_lymphocyte	LOR			-2.933
tabib2021	skin	T_lymphocyte	ADAM15			1.515
tabib2021	skin	T_lymphocyte	ARHGEF2			0.930
tabib2021	skin	T_lymphocyte	SELL			1.616
tabib2021	skin	T_lymphocyte	WDR35			-2.415
tabib2021	skin	T_lymphocyte	TRABD2A			-1.063
tabib2021	skin	T_lymphocyte	ADRA2B			31.002
tabib2021	skin	T_lymphocyte	ARID5A			0.765
tabib2021	skin	T_lymphocyte	UBXN4			-0.402
tabib2021	skin	T_lymphocyte	SUMF1			0.418
tabib2021	skin	T_lymphocyte	PPARG			-2.754
tabib2021	skin	T_lymphocyte	STT3B			0.907
tabib2021	skin	T_lymphocyte	CRTAP			-1.189
tabib2021	skin	T_lymphocyte	CXCR6			-1.236
tabib2021	skin	T_lymphocyte	NFKBIZ			0.725
tabib2021	skin	T_lymphocyte	SIAH2			0.900
tabib2021	skin	T_lymphocyte	CEP19			-1.691
tabib2021	skin	T_lymphocyte	BOD1L1			-1.153
tabib2021	skin	T_lymphocyte	TMEM156			1.111
tabib2021	skin	T_lymphocyte	UBE2D3			0.342
tabib2021	skin	T_lymphocyte	PGRMC2			0.875
tabib2021	skin	T_lymphocyte	HPGD			-1.004
tabib2021	skin	T_lymphocyte	IRF2			1.021
tabib2021	skin	T_lymphocyte	SLC25A4			-1.356
tabib2021	skin	T_lymphocyte	SUB1			0.424
tabib2021	skin	T_lymphocyte	TBCA			0.467
tabib2021	skin	T_lymphocyte	CSF2			-1.620
tabib2021	skin	T_lymphocyte	KIF3A			-1.057
tabib2021	skin	T_lymphocyte	CD74			0.637
tabib2021	skin	T_lymphocyte	SPARC			2.246
tabib2021	skin	T_lymphocyte	ZFP62			-1.443
tabib2021	skin	T_lymphocyte	EXOC2			2.388
tabib2021	skin	T_lymphocyte	HIST1H1A			-2.430
tabib2021	skin	T_lymphocyte	HMGA1			0.819
tabib2021	skin	T_lymphocyte	SRSF3			0.509
tabib2021	skin	T_lymphocyte	PIM1			0.693
tabib2021	skin	T_lymphocyte	RCAN2			-2.056
tabib2021	skin	T_lymphocyte	DLL1	DLL1__cyto	M3	-1.849
tabib2021	skin	T_lymphocyte	GARS			0.939
tabib2021	skin	T_lymphocyte	LSM5			0.977
tabib2021	skin	T_lymphocyte	CLDN4			3.501
tabib2021	skin	T_lymphocyte	NCF1			1.429
tabib2021	skin	T_lymphocyte	CLDN15			2.618
tabib2021	skin	T_lymphocyte	WAS			1.070
tabib2021	skin	T_lymphocyte	PIM2			0.892
tabib2021	skin	T_lymphocyte	AC100810.1			-1.421
tabib2021	skin	T_lymphocyte	SOX7			31.002
tabib2021	skin	T_lymphocyte	CSGALNACT1			-1.342
tabib2021	skin	T_lymphocyte	MSC			-1.683
tabib2021	skin	T_lymphocyte	ZC2HC1A			-1.342
tabib2021	skin	T_lymphocyte	CCDC107			-0.401
tabib2021	skin	T_lymphocyte	CKS2			0.344
tabib2021	skin	T_lymphocyte	PAXX			0.661
tabib2021	skin	T_lymphocyte	NPDC1			3.091
tabib2021	skin	T_lymphocyte	IFITM2	IFITM2__cyto	M1	0.547
tabib2021	skin	T_lymphocyte	IRF7	IRF7__cyto	ssc_tier1	0.685
tabib2021	skin	T_lymphocyte	TPP1			0.864
tabib2021	skin	T_lymphocyte	MS4A1	MS4A1__pm	ssc_tier1	-1.630
tabib2021	skin	T_lymphocyte	COX8A			0.556
tabib2021	skin	T_lymphocyte	EHD1			0.502
tabib2021	skin	T_lymphocyte	SIPA1			1.416
tabib2021	skin	T_lymphocyte	FDX1			-0.748
tabib2021	skin	T_lymphocyte	LAYN			-1.057
tabib2021	skin	T_lymphocyte	TIMM8B			1.124
tabib2021	skin	T_lymphocyte	JAML			-0.923
tabib2021	skin	T_lymphocyte	PHLDB1			-1.240
tabib2021	skin	T_lymphocyte	H2AFX			0.631
tabib2021	skin	T_lymphocyte	FAM107B			0.748
tabib2021	skin	T_lymphocyte	EGR2			-0.938
tabib2021	skin	T_lymphocyte	DDX21			0.535
tabib2021	skin	T_lymphocyte	PDLIM1			1.511
tabib2021	skin	T_lymphocyte	CUTC			-1.269
tabib2021	skin	T_lymphocyte	CD4			1.144
tabib2021	skin	T_lymphocyte	SINHCAF			0.785
tabib2021	skin	T_lymphocyte	KRT85			32.445
tabib2021	skin	T_lymphocyte	KRT6C			32.445
tabib2021	skin	T_lymphocyte	PFDN5			-0.464
tabib2021	skin	T_lymphocyte	ATP5F1B			0.430
tabib2021	skin	T_lymphocyte	RASSF3			1.486
tabib2021	skin	T_lymphocyte	UBE2N			0.596
tabib2021	skin	T_lymphocyte	METAP2			0.725
tabib2021	skin	T_lymphocyte	GATC			1.716
tabib2021	skin	T_lymphocyte	BCL7A			31.002
tabib2021	skin	T_lymphocyte	RILPL2			0.495
tabib2021	skin	T_lymphocyte	RPL21			-0.293
tabib2021	skin	T_lymphocyte	POMP			1.033
tabib2021	skin	T_lymphocyte	VWA8			31.002
tabib2021	skin	T_lymphocyte	HNRNPC			0.482
tabib2021	skin	T_lymphocyte	RAB2B			1.414
tabib2021	skin	T_lymphocyte	BRMS1L			-0.900
tabib2021	skin	T_lymphocyte	GNG2			0.764
tabib2021	skin	T_lymphocyte	PTGER2			1.165
tabib2021	skin	T_lymphocyte	GCH1			0.858
tabib2021	skin	T_lymphocyte	LGALS3			-1.196
tabib2021	skin	T_lymphocyte	PPM1A			0.914
tabib2021	skin	T_lymphocyte	DCAF5			-0.880
tabib2021	skin	T_lymphocyte	RAB27A			0.737
tabib2021	skin	T_lymphocyte	ZNF213-AS1			2.533
tabib2021	skin	T_lymphocyte	CARHSP1			0.655
tabib2021	skin	T_lymphocyte	RMI2			32.445
tabib2021	skin	T_lymphocyte	METTL9			-0.637
tabib2021	skin	T_lymphocyte	MVP			0.889
tabib2021	skin	T_lymphocyte	PFN1			0.619
tabib2021	skin	T_lymphocyte	AC040977.1			1.155
tabib2021	skin	T_lymphocyte	RARA			0.739
tabib2021	skin	T_lymphocyte	IGFBP4			1.894
tabib2021	skin	T_lymphocyte	AC004585.1			2.775
tabib2021	skin	T_lymphocyte	NSF			-1.216
tabib2021	skin	T_lymphocyte	RSAD1			1.912
tabib2021	skin	T_lymphocyte	AC015912.3			1.081
tabib2021	skin	T_lymphocyte	AC091271.1			-1.462
tabib2021	skin	T_lymphocyte	TMC6			0.748
tabib2021	skin	T_lymphocyte	TMC8			0.796
tabib2021	skin	T_lymphocyte	ARHGDIA			0.595
tabib2021	skin	T_lymphocyte	PYCR1			31.002
tabib2021	skin	T_lymphocyte	CD7			0.572
tabib2021	skin	T_lymphocyte	MIB1			-1.315
tabib2021	skin	T_lymphocyte	KIAA1328			-1.521
tabib2021	skin	T_lymphocyte	PMAIP1			0.635
tabib2021	skin	T_lymphocyte	CPXM1			31.002
tabib2021	skin	T_lymphocyte	C20orf204			-1.454
tabib2021	skin	T_lymphocyte	PTBP1			0.541
tabib2021	skin	T_lymphocyte	CNN2			0.503
tabib2021	skin	T_lymphocyte	SH3GL1			1.271
tabib2021	skin	T_lymphocyte	FEM1A			1.521
tabib2021	skin	T_lymphocyte	PLIN3			1.059
tabib2021	skin	T_lymphocyte	DENND1C			1.490
tabib2021	skin	T_lymphocyte	PDE4A			-0.774
tabib2021	skin	T_lymphocyte	GADD45GIP1			-0.387
tabib2021	skin	T_lymphocyte	JAK3			2.361
tabib2021	skin	T_lymphocyte	ZNF91			-0.917
tabib2021	skin	T_lymphocyte	PAF1			0.564
tabib2021	skin	T_lymphocyte	BBC3			1.020
tabib2021	skin	T_lymphocyte	KMT5C			0.802
tabib2021	skin	T_lymphocyte	APOL3			0.968
tabib2021	skin	T_lymphocyte	CRELD2			0.558
tabib2021	skin	T_lymphocyte	SCAF4			0.884
tabib2021	skin	T_lymphocyte	EVA1C			-1.205
tabib2021	skin	endothelial_vascular	ISG15	ISG15__cyto	M1	0.700
tabib2021	skin	endothelial_vascular	TNFRSF18			1.472
tabib2021	skin	endothelial_vascular	VWA1			1.657
tabib2021	skin	endothelial_vascular	ATAD3A			0.579
tabib2021	skin	endothelial_vascular	NADK			0.344
tabib2021	skin	endothelial_vascular	FAM213B			0.605
tabib2021	skin	endothelial_vascular	PRDM16			-1.958
tabib2021	skin	endothelial_vascular	ACOT7			1.571
tabib2021	skin	endothelial_vascular	TNFRSF25			1.047
tabib2021	skin	endothelial_vascular	CAMTA1			0.355
tabib2021	skin	endothelial_vascular	ENO1			0.585
