padj_dataset_max	abs_log2fc_min	hit	denom	pct	pct_M1	pct_M2	pct_M3	pct_M4	pct_M5	pct_crosstalk	pct_ssc_tier1
0.05	0.2	195	236	82.6	81.6	86.9	78.6	72.0	100.0	100.0	79.7
0.05	0.5	185	236	78.4	78.9	82.0	75.0	72.0	94.7	100.0	73.4
0.05	1.0	145	236	61.4	60.5	57.4	57.1	60.0	78.9	100.0	62.5
0.05	2.0	85	236	36.0	39.5	32.8	39.3	32.0	47.4	100.0	32.8
0.01	0.2	169	236	71.6	73.7	77.0	75.0	56.0	94.7	100.0	62.5
0.01	0.5	157	236	66.5	71.1	70.5	67.9	52.0	89.5	100.0	57.8
0.01	1.0	125	236	53.0	57.9	47.5	53.6	48.0	73.7	100.0	50.0
0.01	2.0	67	236	28.4	34.2	24.6	32.1	24.0	42.1	100.0	23.4
0.001	0.2	138	236	58.5	71.1	57.4	64.3	48.0	68.4	100.0	50.0
0.001	0.5	131	236	55.5	65.8	54.1	60.7	44.0	68.4	100.0	48.4
0.001	1.0	102	236	43.2	55.3	36.1	50.0	36.0	57.9	100.0	37.5
0.001	2.0	59	236	25.0	31.6	21.3	32.1	20.0	36.8	100.0	18.8
