rank	hub_species	module	hub_score	hgnc_symbol	drug	approved	interaction_types	sources	score	ssc_context
1	SMAD3p_SMAD4__nuc	M2	13.4192	SMAD4	LYSINE	yes		CIViC	5.220379855888553	
1	SMAD3p_SMAD4__nuc	M2	13.4192	SMAD4	RECOMBINANT TRANSFORMING GROWTH FACTOR	no		NCI	0.9491599737979188	
1	SMAD3p_SMAD4__nuc	M2	13.4192	SMAD4	CETUXIMAB	yes		CIViC	0.2821826949128947	
1	SMAD3p_SMAD4__nuc	M2	13.4192	SMAD4	GEMCITABINE	yes		CIViC	0.1134865186062729	
1	SMAD3p_SMAD4__nuc	M2	13.4192	SMAD4	FLUOROURACIL	yes		CIViC	0.0900065492394578	
3	NICD1__cyto	M3	9.4582	NICD1						
4	TGFB1__ext	M2	9.0897	TGFB1	DISITERTIDE	no		TTD	1.769620290131712	
4	TGFB1__ext	M2	9.0897	TGFB1	IDOXURIDINE	yes		NCI	1.769620290131712	
4	TGFB1__ext	M2	9.0897	TGFB1	FRESOLIMUMAB	no	antibody	TALC	0.8848101450658564	anti-TGFb1/2/3 — SSc skin trial
4	TGFB1__ext	M2	9.0897	TGFB1	NISEVOKITUG	no		TTD	0.8848101450658564	
4	TGFB1__ext	M2	9.0897	TGFB1	SANDOSTATIN	no		NCI	0.8848101450658564	
5	ISGF3_bound_to_ISRE_promotor_elements__nuc	M1	8.9461	ISGF3						
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.0918	TGFB1	DISITERTIDE	no		TTD	1.769620290131712	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.0918	TGFB1	IDOXURIDINE	yes		NCI	1.769620290131712	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.0918	TGFB1	FRESOLIMUMAB	no	antibody	TALC	0.8848101450658564	anti-TGFb1/2/3 — SSc skin trial
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.0918	TGFB1	NISEVOKITUG	no		TTD	0.8848101450658564	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.0918	TGFB1	SANDOSTATIN	no		NCI	0.8848101450658564	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.0918	TGFBR2	HESPERETIN	yes		DTC	5.800422062098392	
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	8.0918	TGFBR2	IRINOTECAN HYDROCHLORIDE	yes		PharmGKB	0.8286317231569131	
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.3355	TGFB1	DISITERTIDE	no		TTD	1.769620290131712	
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.3355	TGFB1	IDOXURIDINE	yes		NCI	1.769620290131712	
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.3355	TGFB1	FRESOLIMUMAB	no	antibody	TALC	0.8848101450658564	anti-TGFb1/2/3 — SSc skin trial
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.3355	TGFB1	NISEVOKITUG	no		TTD	0.8848101450658564	
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.3355	TGFB1	SANDOSTATIN	no		NCI	0.8848101450658564	
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.3355	TGFBR2	HESPERETIN	yes		DTC	5.800422062098392	
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	6.3355	TGFBR2	IRINOTECAN HYDROCHLORIDE	yes		PharmGKB	0.8286317231569131	
9	NICD1__nuc	M3	5.9531	NICD1						
11	SNAI2__nuc	ssc_tier1	5.6727	SNAI2						
12	NOTCH1_Coactivator_Complex__nuc	M3	5.1758	NOTCH1	BRONTICTUZUMAB	no	inhibitor	CGI;TTD;ChEMBL	19.57642445958207	
12	NOTCH1_Coactivator_Complex__nuc	M3	5.1758	NOTCH1	RO4929097	no	other/unknown;inhibitor	CGI;MyCancerGenome;CancerCommons	3.915284891916414	
12	NOTCH1_Coactivator_Complex__nuc	M3	5.1758	NOTCH1	CRENIGACESTAT	no		TTD	2.175158273286897	
12	NOTCH1_Coactivator_Complex__nuc	M3	5.1758	NOTCH1	NIROGACESTAT	yes	other/unknown	CGI;MyCancerGenome;CIViC	1.398316032827291	
12	NOTCH1_Coactivator_Complex__nuc	M3	5.1758	NOTCH1	MK-0752	no		CGI	1.305094963972138	
13	CDH5_repressed__pm	M3	4.8728	CDH5	FX06	no		TdgClinicalTrial	52.20379855888553	
14	COL1A1__ext	ssc_tier1	4.6292	COL1A1	PAMIDRONATE	yes		PharmGKB	1.355942819711312	
14	COL1A1__ext	ssc_tier1	4.6292	COL1A1	ETIDRONIC ACID	yes		PharmGKB	1.065383644058888	
14	COL1A1__ext	ssc_tier1	4.6292	COL1A1	ZOLEDRONIC ACID ANHYDROUS	yes		PharmGKB	0.9943580677882958	
14	COL1A1__ext	ssc_tier1	4.6292	COL1A1	SOMATROPIN (RECOMBINANT DNA ORIGIN)	yes		PharmGKB	0.9943580677882958	
14	COL1A1__ext	ssc_tier1	4.6292	COL1A1	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	yes	cleavage	TEND;TdgClinicalTrial;ChEMBL	0.7990377330441664	
16	IL6__ext	M4	3.4467	IL6	CLAZAKIZUMAB	no	antibody;inhibitor	TTD;TdgClinicalTrial;TALC;ChEMBL	4.261534576235554	
16	IL6__ext	M4	3.4467	IL6	OLOKIZUMAB	no	inhibitor	TTD;TdgClinicalTrial;ChEMBL	4.261534576235554	
16	IL6__ext	M4	3.4467	IL6	SILTUXIMAB	yes	inhibitor	TTD;ChEMBL	2.130767288117777	
16	IL6__ext	M4	3.4467	IL6	BIAFINE CREAM	no		NCI	2.130767288117777	
16	IL6__ext	M4	3.4467	IL6	IMIPENEM-CILASTATIN SODIUM	no		NCI	2.130767288117777	
17	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	3.4344	JAK1	GOLIDOCITINIB	no	inhibitor	ChEMBL	2.007838406110982	
17	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	3.4344	JAK1	INCB-047986	no	inhibitor	ChEMBL	2.007838406110982	
17	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	3.4344	JAK1	GLPG-0555	no	inhibitor	ChEMBL	2.007838406110982	
17	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	3.4344	JAK1	RUXOLITINIB PHOSPHATE	yes	inhibitor	ChEMBL	1.003919203055491	
17	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	3.4344	JAK1	TRICETAMIDE	no	inhibitor	ChEMBL	1.003919203055491	
17	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	3.4344	STAT2	ISOTRETINOIN	yes		NCI	6.525474819860691	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	CHEMBL:CHEMBL601311	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	QUINOXALINE	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	CHEMBL:CHEMBL530281	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	CHEMBL:CHEMBL547161	no		DTC	0.2279641858466617	
18	SMAD3_p__cyto	M2	3.3530	SMAD3	(S,R)-MEFLOQUINE	no		DTC	0.2279641858466617	
19	YAP1_TAZ_active__nuc	M2	3.2274	YAP1	ETOPOSIDE	yes		PharmGKB	1.800130984789156	
19	YAP1_TAZ_active__nuc	M2	3.2274	TAZ						
20	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.0028	NOTCH1	BRONTICTUZUMAB	no	inhibitor	CGI;TTD;ChEMBL	19.57642445958207	
20	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	3.0028	NOTCH1	RO4929097	no	other/unknown;inhibitor	CGI;MyCancerGenome;CancerCommons	3.915284891916414	
