cluster	hgnc	log2fc	pvalue	padj	n_donors_ssc	n_donors_hc	in_deg_output
Vascular_ACKR1	SNAI1	-0.1929	0.7067	0.9583	90	47	yes
Vascular_ACKR1	SNAI2	-0.0492	0.8858	1	90	47	yes
Vascular_ACKR1	ZEB1	-0.2545	0.4292	0.8227	90	47	yes
Vascular_ACKR1	ZEB2	-0.1838	0.5085	0.8728	90	47	yes
Vascular_ACKR1	TWIST1	-0.3154	0.3169	0.7465	90	47	yes
Vascular_ACKR1	PRRX1						no
Vascular_ACKR1	ACTA2	-0.2203	0.5519	0.8935	90	47	yes
Vascular_ACKR1	FN1	0.0147	0.9372	1	90	47	yes
Vascular_ACKR1	CDH2						no
Vascular_ACKR1	FAP	-0.1800	0.6783	0.9461	90	47	yes
Vascular_ACKR1	S100A4	-0.6102	0.006481	0.1033	90	47	yes
Vascular_ACKR1	CDH5	0.6127	0.2785	0.7152	90	47	yes
Vascular_ACKR1	PECAM1	0.4006	0.4407	0.8286	90	47	yes
Vascular_ACKR1	NOTCH1	0.1131	0.86	1	90	47	yes
Vascular_ACKR1	NOTCH3	-0.1208	0.7046	0.9583	90	47	yes
Vascular_ACKR1	JAG1	0.2159	0.5709	0.9035	90	47	yes
Vascular_ACKR1	JAG2	-0.6595	0.3247	0.7503	90	47	yes
Vascular_ACKR1	DLL1	-0.4876	0.4502	0.8337	90	47	yes
Vascular_ACKR1	DLL4	-0.1295	0.9032	1	90	47	yes
Vascular_ACKR1	HES1	-0.3236	0.3948	0.8009	90	47	yes
Vascular_ACKR1	HEY1	-0.4676	0.475	0.849	90	47	yes
Vascular_ACKR1	DTX1	-0.2980	0.7294	0.9665	90	47	yes
Vascular_ACKR1	MAML1	0.2732	0.7306	0.9665	90	47	yes
Vascular_ACKR1	NUMB	-0.1622	0.6621	0.9418	90	47	yes
Vascular_ACKR1	EDN1	-0.2839	0.6746	0.945	90	47	yes
Vascular_ACKR1	EDNRA						no
Vascular_ACKR1	EDNRB	-0.8002	0.04521	0.3222	90	47	yes
Vascular_ACKR1	NOS3	0.7330	0.398	0.8028	90	47	yes
Vascular_ACKR1	VEGFA	-0.4852	0.2726	0.7095	90	47	yes
Vascular_ACKR1	ANGPT2	0.2938	0.5396	0.8866	90	47	yes
Vascular_ACKR1	ROCK1	-0.1351	0.6879	0.9516	90	47	yes
Vascular_ACKR1	ROCK2	-0.0638	0.8323	1	90	47	yes
Vascular_ACKR1	RHOA	-0.4271	0.005712	0.09479	90	47	yes
Vascular_RBP7	SNAI1	-0.7883	0.1195	0.5168	92	51	yes
Vascular_RBP7	SNAI2	-0.2719	0.4235	0.8204	92	51	yes
Vascular_RBP7	ZEB1	-0.2977	0.3876	0.7947	92	51	yes
Vascular_RBP7	ZEB2	0.0403	0.8765	1	92	51	yes
Vascular_RBP7	TWIST1	-0.7994	0.01025	0.1367	92	51	yes
Vascular_RBP7	PRRX1						no
Vascular_RBP7	ACTA2	-0.2496	0.5462	0.8902	92	51	yes
Vascular_RBP7	FN1	0.2198	0.2867	0.725	92	51	yes
Vascular_RBP7	CDH2						no
Vascular_RBP7	FAP	-0.4134	0.3169	0.7465	92	51	yes
Vascular_RBP7	S100A4	-0.2877	0.08887	0.4514	92	51	yes
Vascular_RBP7	CDH5	0.4661	0.4448	0.8308	92	51	yes
Vascular_RBP7	PECAM1	1.1011	0.01932	0.2026	92	51	yes
Vascular_RBP7	NOTCH1	0.2247	0.7498	0.9721	92	51	yes
Vascular_RBP7	NOTCH3	0.1645	0.6442	0.9348	92	51	yes
Vascular_RBP7	JAG1	0.2791	0.4594	0.8392	92	51	yes
Vascular_RBP7	JAG2	0.4221	0.6694	0.9434	92	51	yes
Vascular_RBP7	DLL1	0.4885	0.5433	0.8891	92	51	yes
Vascular_RBP7	DLL4						no
Vascular_RBP7	HES1	0.2180	0.5253	0.8797	92	51	yes
Vascular_RBP7	HEY1	2.0560	0.07476	0.4136	92	51	yes
