donor_id	cell_type	condition	group	dataset	tissue	lib_size	ABCE1	ACTA2	ADAR	ANGPT1	ANGPT2	ARNT	ARRB1	BAMBI	BCAR1	BLK	BST2	BTK	CBL	CD19	CD22	CD40	CD40LG	CD79A	CD79B	CDH2	CDH5	CLCF1	CNTF	CNTFR	CNTN1	COL1A1	COL1A2	COL3A1	COL5A1	COL5A2	COMP	CREBBP	CRLF1	CTF1	CTGF	DDX58	DLK1	DLL1	DLL4	DNER	DTX1	EDN1	EDNRA	EDNRB	EGR1	EIF2AK2	EP300	FAP	FKBP1A	FN1	FOSL2	FOXP3	FURIN	GATA3	GBP2	GRB7	HES1	HES5	HEY1	HIF1A	IFI27	IFI35	IFI6	IFIT1	IFIT2	IFIT3	IFIT5	IFITM1	IFITM2	IFITM3	IFNA1	IFNAR2	IFNB1	IKBKE	IL11	IL11RA	IL13	IL13RA1	IL4	IL4R	IL6	IL6R	IL6ST	IP6K2	IRF4	IRF7	IRF9	ISG15	ISG20	ITCH	JAG1	JAG2	JAK1	JAK2	KAT2B	KDR	KPNA1	KPNB1	LIF	LIFR	LOX	LOXL2	LTBP1	LTBP4	LYN	MAML1	MAVS	MB21D1	MS4A1	MTMR4	MYC	NBEA	NEDD4L	NOS3	NOTCH1	NOTCH3	NUMB	OSM	OSMR	PDE5A	PDGFA	PDGFB	PDGFRA	PDGFRB	PECAM1	PIK3CA	PLCG1	PMEPA1	POSTN	PRDM1	PSMB8	PTGS2	PTPN1	PTPN11	PTPN12	PTPN2	PTPN6	RAPGEF1	RASA1	RBPJ	RHOA	RNASEL	ROCK1	ROCK2	RORC	RSAD2	S100A4	SAMHD1	SMAD2	SMAD3	SMAD4	SMAD7	SMURF1	SMURF2	SNAI1	SNAI2	SOCS1	SOCS3	STAT1	STAT2	STAT3	STAT6	STRAP	STUB1	SYK	TAZ	TBK1	TBX2	TBX21	TBXA2R	TEK	TGFB1	TGFBR2	THBS1	TICAM1	TLE1	TLR3	TLR7	TLR8	TLR9	TMEM173	TNC	TNFRSF17	TNFSF13	TNFSF13B	TWIST1	USP18	VEGFA	VWF	XAF1	XBP1	XPO1	YAP1	ZEB1	ZEB2	ZFYVE9
HD1	Bplasma	HC	HC	gse210395	pbmc	87211	635	19	1422	14	60	122	10	0	0	1279	1552	553	272	135	528	307	2	3544	1323	0	0	17	1	0	0	2	0	0	0	0	2	557	3	20	0	13	0	5	0	2	23	28	0	0	54	544	981	0	1360	6	193	1	370	11	64	0	14	0	0	845	0	212	57	1	670	14	88	78	679	36	0	909	0	35	1	68	1	118	0	554	3	165	709	355	4704	4837	778	256	1106	805	46	2	2134	246	233	1	167	1176	0	0	0	18	0	187	2923	166	267	0	1834	232	116	70	48	4	153	55	496	4	0	10	3	4	0	0	610	246	11	509	0	67	1106	4	1375	309	73	2123	623	669	63	506	3378	16	1828	96	2	7	6089	2474	328	321	293	22	183	202	11	0	232	157	398	504	1143	396	813	1049	1620	290	122	0	3	10	0	1676	1152	7	95	199	3	484	5	9	200	0	87	4	552	0	2	11	2	76	2650	529	1	557	3901	1
HD2	Bplasma	HC	HC	gse210395	pbmc	15246	93	4	258	6	19	22	6	0	0	219	280	121	41	71	167	125	5	1195	489	0	0	9	0	0	0	0	0	0	0	0	0	105	0	4	0	7	0	3	0	1	4	4	0	0	42	136	110	0	197	2	39	1	48	21	23	0	6	0	0	165	1	48	46	2	51	18	23	71	226	33	0	96	0	26	0	12	0	13	0	95	1	11	70	50	378	463	160	115	611	84	6	0	334	33	27	0	40	208	0	0	0	2	0	23	401	34	38	0	839	51	35	9	15	2	18	2	62	5	0	3	1	0	0	1	77	48	6	47	0	34	212	2	261	42	35	206	182	115	22	91	466	2	276	29	0	4	996	213	53	60	62	4	18	28	1	0	56	37	131	93	208	76	143	163	173	58	25	0	5	6	0	272	122	0	12	63	0	40	0	0	30	0	76	1	63	0	2	10	0	59	300	86	0	75	326	2
HD3	Bplasma	HC	HC	gse210395	pbmc	13174	73	4	304	3	17	8	2	0	0	195	320	69	38	58	82	66	4	945	396	0	0	6	0	0	0	2	0	0	0	0	0	72	0	0	0	10	0	1	0	0	9	0	0	0	14	256	74	0	140	5	36	0	33	4	25	0	2	0	1	128	1	71	105	18	79	33	18	133	249	34	0	56	0	13	0	5	0	19	0	52	3	15	39	28	384	422	195	387	738	49	0	0	340	23	34	0	31	192	0	0	0	3	0	21	316	15	28	0	525	40	21	10	4	1	11	0	50	1	0	0	0	0	0	0	43	44	2	41	0	34	178	0	251	28	28	166	122	94	7	61	314	3	233	21	0	8	635	181	32	51	42	2	18	25	1	0	63	20	213	89	145	55	103	127	145	33	34	0	6	2	0	210	97	1	13	55	0	40	1	0	20	0	26	1	41	0	10	3	0	143	246	52	0	49	251	1
HD4	Bplasma	HC	HC	gse210395	pbmc	90553	774	23	1222	1	66	136	4	0	0	769	2252	605	225	97	180	150	11	1524	837	2	0	9	1	0	0	0	0	0	0	1	1	585	2	21	0	11	0	1	0	5	9	19	0	0	51	577	855	0	1902	5	310	1	315	23	24	0	5	0	0	535	9	403	61	0	639	9	58	22	615	34	0	933	0	52	0	44	4	142	0	265	5	203	669	327	5335	8662	645	182	1207	757	144	2	2272	262	282	0	145	1171	1	0	0	16	1	218	2470	136	244	0	898	189	61	96	61	1	155	16	544	16	2	6	4	8	0	0	733	163	11	837	0	167	1598	9	1394	298	82	1756	698	536	65	470	4226	27	1664	130	4	10	4338	3555	404	291	227	19	153	182	16	0	238	217	408	504	957	378	855	1533	1581	262	90	0	12	5	0	2056	1063	2	126	182	1	598	2	1	281	0	339	11	584	0	5	15	0	65	4659	552	1	433	3624	1
SSc1	Bplasma	SSC	HC	gse210395	pbmc	6000	34	2	75	5	16	8	5	1	0	68	112	51	16	11	34	24	7	325	174	1	0	0	0	0	0	0	0	0	0	0	0	36	0	1	0	10	0	0	0	1	1	1	0	0	18	28	41	0	90	1	10	0	16	6	13	0	5	0	1	32	1	28	25	0	30	1	8	24	64	3	0	37	0	10	1	4	2	2	0	26	3	25	9	31	87	125	36	31	239	40	1	0	121	25	11	0	17	91	0	0	0	0	0	14	106	9	19	0	208	23	25	7	4	2	10	0	55	0	0	1	0	0	0	0	22	8	3	26	0	22	147	0	76	14	16	120	111	39	12	50	211	9	109	23	0	2	617	160	24	23	16	1	8	13	1	0	26	18	38	22	80	36	49	65	86	22	10	0	3	0	0	95	47	2	9	16	0	17	2	0	20	0	96	1	10	0	0	4	0	16	140	74	1	33	158	0
SSc2	Bplasma	SSC	HC	gse210395	pbmc	23674	124	6	322	0	32	25	1	0	0	469	491	210	69	175	551	252	0	2634	1961	0	0	3	0	0	0	0	0	0	0	0	2	115	1	1	0	25	0	6	0	0	21	4	0	0	57	231	116	0	231	0	15	0	35	1	42	0	5	0	0	158	5	122	106	15	37	39	32	59	329	41	0	57	0	42	0	11	0	38	0	272	4	20	31	57	128	561	261	328	1054	71	6	0	488	54	24	0	42	245	0	0	0	0	0	31	424	26	50	0	2002	97	80	9	14	0	30	2	123	8	1	0	0	0	0	2	72	76	3	94	0	29	416	5	229	66	58	242	368	140	31	66	609	9	344	35	1	9	814	259	58	94	53	4	16	34	1	0	98	32	235	103	200	129	130	241	253	75	38	0	4	7	0	252	180	13	12	158	0	61	1	0	13	0	110	0	46	0	24	5	0	275	230	161	0	89	395	0
SSc3	Bplasma	SSC	HC	gse210395	pbmc	32300	142	9	401	2	58	45	7	0	0	789	510	302	102	245	719	424	1	3796	2795	1	1	21	0	0	0	2	0	0	0	0	0	192	0	3	0	37	0	3	0	0	33	2	0	0	45	245	171	0	280	3	26	0	47	6	34	0	27	0	0	300	1	88	78	7	56	18	46	51	443	57	0	125	0	16	2	25	0	51	0	589	27	37	59	103	325	686	217	196	1187	105	5	0	870	57	55	1	57	317	0	0	0	2	0	44	669	39	98	0	2471	149	219	30	15	1	42	3	184	17	0	1	2	0	0	1	82	107	9	126	0	16	497	8	371	66	111	390	530	155	42	162	774	16	568	61	3	10	907	324	118	129	84	1	32	48	2	0	104	69	95	101	370	153	160	359	414	107	51	0	4	11	0	391	338	41	12	195	0	68	2	0	40	0	28	1	67	0	10	11	2	244	282	319	0	136	594	2
SSc4	Bplasma	SSC	HC	gse210395	pbmc	13294	38	6	141	1	29	22	5	0	0	249	252	137	50	94	271	200	3	1254	1050	0	0	2	0	0	0	0	0	0	0	0	2	47	0	1	0	20	0	1	0	0	15	2	0	0	8	76	91	0	126	3	8	0	13	6	21	0	2	0	0	68	0	55	23	2	29	10	13	30	209	26	0	52	0	19	0	3	0	31	0	351	0	41	18	32	98	330	113	36	531	59	1	0	336	30	20	0	21	158	0	0	0	4	0	16	249	11	43	0	966	53	26	10	3	1	15	0	94	2	0	0	0	1	0	1	50	45	9	49	0	11	262	1	118	36	15	146	245	66	23	54	373	6	205	29	1	8	573	215	54	57	26	1	11	25	0	0	24	11	54	64	168	66	63	140	176	49	27	0	2	9	0	141	133	0	11	56	0	52	0	1	19	0	43	1	26	0	3	2	0	138	161	115	0	48	291	0
Ctrl003	Bplasma	HC	HC	gse195452	skin_gur	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	7	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	11	5	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
pt01005	Bplasma	SSC	SSc	gse195452	skin_gur	127	0	0	2	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	2	0	2	0	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	7	4	6	0	1	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	1	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	1	0	1	0	1	0	3	0	0	1	2	0	1	3	0	0	2	7	1	0	0	0	0	0	0	0	0	0	4	0	3	0	2	0	2	0	0	0	1	0	0	1	3	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	8	1
