donor_id	cell_type	condition	group	dataset	tissue	lib_size	ABCE1	ACTA2	ADAR	ANGPT1	ANGPT2	ARNT	ARRB1	BAMBI	BCAR1	BLK	BST2	BTK	CBL	CD19	CD22	CD40	CD40LG	CD79A	CD79B	CDH2	CDH5	CLCF1	CNTF	CNTFR	CNTN1	COL1A1	COL1A2	COL3A1	COL5A1	COL5A2	COMP	CREBBP	CRLF1	CTF1	CTGF	DDX58	DLK1	DLL1	DLL4	DNER	DTX1	EDN1	EDNRA	EDNRB	EGR1	EIF2AK2	EP300	FAP	FKBP1A	FN1	FOSL2	FOXP3	FURIN	GATA3	GBP2	GRB7	HES1	HES5	HEY1	HIF1A	IFI27	IFI35	IFI6	IFIT1	IFIT2	IFIT3	IFIT5	IFITM1	IFITM2	IFITM3	IFNA1	IFNAR2	IKBKE	IL11	IL11RA	IL13	IL13RA1	IL4	IL4R	IL6	IL6R	IL6ST	IP6K2	IRF4	IRF7	IRF9	ISG15	ISG20	ITCH	JAG1	JAG2	JAK1	JAK2	KAT2B	KDR	KPNA1	KPNB1	LIF	LIFR	LOX	LOXL2	LTBP1	LTBP4	LYN	MAML1	MAVS	MB21D1	MS4A1	MTMR4	MYC	NBEA	NEDD4L	NOS3	NOTCH1	NOTCH3	NUMB	OSM	OSMR	PDE5A	PDGFA	PDGFB	PDGFRA	PDGFRB	PECAM1	PIK3CA	PLCG1	PMEPA1	POSTN	PRDM1	PSMB8	PTGS2	PTPN1	PTPN11	PTPN12	PTPN2	PTPN6	RAPGEF1	RASA1	RBPJ	RHOA	RNASEL	ROCK1	ROCK2	RORC	RSAD2	S100A4	SAMHD1	SMAD2	SMAD3	SMAD4	SMAD7	SMURF1	SMURF2	SNAI1	SNAI2	SOCS1	SOCS3	STAT1	STAT2	STAT3	STAT6	STRAP	STUB1	SYK	TAZ	TBK1	TBX2	TBX21	TBXA2R	TEK	TGFB1	TGFBR2	THBS1	TICAM1	TLE1	TLR3	TLR7	TLR8	TLR9	TMEM173	TNC	TNFRSF17	TNFSF13	TNFSF13B	TWIST1	USP18	VEGFA	VWF	XAF1	XBP1	XPO1	YAP1	ZEB1	ZEB2	ZFYVE9
SC1	T_lymphocyte	HC	HC	tabib2021	skin	188250.0	4.0	4.0	14.0	0.0	3.0	3.0	1.0	0.0	0.0	0.0	26.0	0.0	4.0	0.0	0.0	0.0	9.0	1.0	15.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	14.0	4.0	0.0	32.0	0.0	14.0	6.0	5.0	19.0	19.0	0.0	4.0	0.0	0.0	13.0	2.0	5.0	14.0	0.0	0.0	0.0	0.0	31.0	83.0	5.0	0.0	5.0	3.0	0.0	0.0	9.0	0.0	1.0	4.0	2.0	6.0	11.0	10.0	2.0	4.0	13.0	39.0	35.0	1.0	1.0	0.0	51.0	0.0	6.0	0.0	3.0	18.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	4.0	2.0	30.0	0.0	0.0	4.0	1.0	1.0	1.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	13.0	43.0	0.0	22.0	5.0	1.0	11.0	8.0	2.0	3.0	34.0	38.0	0.0	31.0	3.0	3.0	1.0	993.0	36.0	4.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	31.0	6.0	1.0	1.0	29.0	1.0	22.0	7.0	0.0	4.0	2.0	0.0	1.0	0.0	0.0	21.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	35.0	4.0	0.0	2.0	3.0	0.0
SC1	endothelial_vascular	HC	HC	tabib2021	skin	638509.0	21.0	94.0	54.0	10.0	129.0	5.0	3.0	1.0	41.0	0.0	264.0	1.0	25.0	0.0	0.0	52.0	0.0	0.0	58.0	0.0	103.0	2.0	0.0	1.0	0.0	33.0	58.0	37.0	2.0	4.0	2.0	24.0	1.0	0.0	177.0	27.0	0.0	27.0	27.0	0.0	2.0	101.0	8.0	88.0	108.0	55.0	16.0	4.0	373.0	37.0	44.0	0.0	9.0	1.0	132.0	0.0	309.0	3.0	31.0	62.0	1865.0	20.0	80.0	48.0	45.0	66.0	20.0	238.0	411.0	1281.0	0.0	25.0	0.0	0.0	4.0	0.0	23.0	0.0	27.0	404.0	3.0	93.0	31.0	0.0	16.0	44.0	101.0	23.0	5.0	24.0	30.0	162.0	8.0	6.0	75.0	12.0	30.0	0.0	85.0	7.0	16.0	4.0	47.0	12.0	5.0	9.0	0.0	0.0	5.0	166.0	0.0	1.0	7.0	31.0	24.0	35.0	0.0	16.0	7.0	20.0	18.0	3.0	63.0	465.0	5.0	13.0	15.0	30.0	28.0	182.0	7.0	24.0	22.0	68.0	23.0	3.0	8.0	11.0	36.0	166.0	1.0	81.0	80.0	0.0	2.0	457.0	31.0	23.0	9.0	10.0	8.0	2.0	16.0	25.0	19.0	9.0	1275.0	6.0	7.0	164.0	28.0	88.0	43.0	1.0	12.0	14.0	2.0	0.0	5.0	8.0	14.0	180.0	28.0	8.0	14.0	0.0	0.0	0.0	0.0	154.0	2.0	0.0	0.0	1.0	4.0	7.0	6.0	112.0	70.0	85.0	35.0	9.0	82.0	40.0	3.0
SC1	fibroblast_other	HC	HC	tabib2021	skin	1276683.0	68.0	226.0	43.0	16.0	4.0	50.0	2.0	0.0	8.0	0.0	71.0	0.0	21.0	1.0	0.0	53.0	0.0	0.0	9.0	0.0	8.0	5.0	0.0	33.0	74.0	3872.0	4689.0	2040.0	126.0	76.0	686.0	39.0	15.0	4.0	759.0	19.0	0.0	4.0	2.0	0.0	3.0	4.0	74.0	122.0	132.0	84.0	17.0	35.0	322.0	322.0	17.0	0.0	11.0	7.0	57.0	0.0	527.0	0.0	0.0	43.0	105.0	51.0	140.0	69.0	21.0	28.0	26.0	216.0	537.0	1564.0	0.0	7.0	1.0	0.0	170.0	0.0	72.0	0.0	15.0	17.0	12.0	183.0	62.0	1.0	11.0	35.0	64.0	18.0	17.0	23.0	1.0	153.0	15.0	11.0	1.0	18.0	90.0	0.0	18.0	172.0	17.0	179.0	331.0	3.0	14.0	23.0	0.0	0.0	22.0	114.0	13.0	2.0	3.0	3.0	10.0	57.0	0.0	33.0	6.0	5.0	0.0	133.0	242.0	4.0	6.0	12.0	137.0	478.0	3.0	130.0	4.0	32.0	84.0	51.0	39.0	1.0	5.0	20.0	123.0	282.0	4.0	99.0	98.0	0.0	3.0	3133.0	54.0	31.0	35.0	32.0	9.0	5.0	23.0	26.0	96.0	26.0	297.0	7.0	23.0	224.0	58.0	99.0	108.0	0.0	5.0	16.0	2.0	0.0	10.0	0.0	31.0	88.0	64.0	20.0	32.0	11.0	0.0	0.0	0.0	65.0	68.0	0.0	0.0	92.0	39.0	13.0	10.0	0.0	73.0	164.0	61.0	22.0	107.0	190.0	23.0
SC1	keratinocyte	HC	HC	tabib2021	skin	2752156.0	107.0	37.0	73.0	4.0	5.0	21.0	10.0	23.0	24.0	0.0	4.0	0.0	39.0	0.0	1.0	73.0	0.0	3.0	0.0	1.0	0.0	7.0	0.0	7.0	8.0	26.0	27.0	12.0	3.0	5.0	170.0	53.0	13.0	2.0	42.0	34.0	0.0	27.0	0.0	1.0	0.0	93.0	4.0	51.0	543.0	71.0	49.0	0.0	444.0	14.0	83.0	0.0	45.0	245.0	150.0	116.0	1649.0	30.0	5.0	130.0	306.0	12.0	26.0	17.0	8.0	16.0	3.0	24.0	32.0	332.0	0.0	20.0	8.0	4.0	47.0	0.0	36.0	0.0	31.0	6.0	25.0	52.0	227.0	3.0	30.0	27.0	29.0	32.0	25.0	220.0	49.0	276.0	13.0	6.0	2.0	54.0	167.0	4.0	11.0	4.0	4.0	10.0	83.0	3.0	7.0	34.0	0.0	0.0	35.0	1259.0	4.0	62.0	0.0	80.0	52.0	60.0	1.0	18.0	6.0	75.0	4.0	1.0	3.0	3.0	8.0	13.0	74.0	253.0	12.0	276.0	7.0	106.0	99.0	63.0	109.0	19.0	14.0	29.0	91.0	339.0	9.0	115.0	38.0	15.0	1.0	328.0	20.0	61.0	29.0	20.0	51.0	25.0	31.0	6.0	170.0	75.0	297.0	31.0	19.0	349.0	70.0	277.0	161.0	11.0	20.0	22.0	0.0	0.0	0.0	0.0	48.0	21.0	30.0	20.0	125.0	31.0	0.0	0.0	0.0	23.0	58.0	0.0	0.0	6.0	0.0	11.0	57.0	5.0	13.0	178.0	141.0	39.0	2.0	19.0	52.0
SC1	macrophage_dermal	HC	HC	tabib2021	skin	210912.0	13.0	5.0	5.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	23.0	12.0	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	45.0	26.0	16.0	0.0	24.0	0.0	8.0	0.0	1.0	1.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0	8.0	10.0	1.0	57.0	2.0	4.0	0.0	4.0	0.0	6.0	0.0	24.0	0.0	1.0	5.0	1.0	3.0	4.0	0.0	0.0	1.0	0.0	1.0	27.0	42.0	0.0	3.0	0.0	0.0	0.0	0.0	41.0	0.0	6.0	3.0	13.0	13.0	4.0	6.0	7.0	2.0	9.0	3.0	3.0	7.0	0.0	30.0	8.0	1.0	1.0	6.0	10.0	0.0	1.0	2.0	0.0	0.0	12.0	20.0	4.0	4.0	0.0	0.0	5.0	6.0	1.0	0.0	0.0	3.0	0.0	8.0	1.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0	4.0	0.0	0.0	12.0	27.0	23.0	5.0	19.0	9.0	8.0	17.0	12.0	6.0	1.0	32.0	51.0	2.0	20.0	3.0	0.0	0.0	632.0	9.0	7.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	7.0	42.0	15.0	5.0	18.0	7.0	16.0	16.0	17.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.0	5.0	1.0	1.0	0.0	1.0	0.0	9.0	7.0	0.0	0.0	20.0	0.0	1.0	10.0	0.0	2.0	31.0	15.0	0.0	5.0	38.0	0.0
SC1	myofibroblast_FAP_CTHRC1	HC	HC	tabib2021	skin	392567.0	13.0	2511.0	18.0	18.0	129.0	9.0	1.0	2.0	6.0	0.0	90.0	0.0	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	66.0	110.0	57.0	4.0	10.0	1.0	16.0	5.0	3.0	132.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	22.0	17.0	102.0	22.0	22.0	0.0	81.0	26.0	14.0	0.0	8.0	0.0	15.0	0.0	209.0	0.0	5.0	64.0	31.0	4.0	24.0	4.0	2.0	3.0	3.0	71.0	251.0	490.0	0.0	3.0	0.0	0.0	12.0	0.0	9.0	0.0	11.0	177.0	18.0	29.0	11.0	0.0	3.0	4.0	44.0	2.0	2.0	58.0	1.0	115.0	5.0	1.0	0.0	7.0	19.0	0.0	7.0	1.0	7.0	14.0	8.0	0.0	5.0	10.0	0.0	0.0	1.0	268.0	3.0	2.0	0.0	5.0	74.0	6.0	0.0	11.0	76.0	30.0	4.0	0.0	111.0	2.0	12.0	3.0	30.0	19.0	6.0	21.0	0.0	20.0	36.0	10.0	14.0	0.0	3.0	0.0	49.0	84.0	3.0	75.0	50.0	0.0	1.0	984.0	12.0	15.0	0.0	11.0	6.0	2.0	4.0	1.0	30.0	11.0	266.0	6.0	5.0	85.0	9.0	48.0	35.0	0.0	4.0	7.0	39.0	0.0	0.0	0.0	11.0	6.0	43.0	0.0	10.0	0.0	0.0	0.0	0.0	33.0	33.0	0.0	0.0	1.0	10.0	1.0	9.0	0.0	6.0	20.0	14.0	9.0	24.0	80.0	9.0
SC119	T_lymphocyte	SSC	HC	tabib2021	skin	168010.0	7.0	1.0	6.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	7.0	0.0	4.0	0.0	0.0	1.0	25.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	3.0	5.0	0.0	16.0	0.0	14.0	5.0	0.0	20.0	23.0	1.0	1.0	0.0	1.0	10.0	1.0	2.0	4.0	0.0	0.0	1.0	1.0	4.0	60.0	7.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0	1.0	5.0	7.0	9.0	2.0	9.0	4.0	60.0	81.0	2.0	1.0	2.0	16.0	3.0	2.0	0.0	5.0	12.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	2.0	1.0	32.0	0.0	2.0	0.0	2.0	1.0	6.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	29.0	23.0	0.0	6.0	0.0	2.0	8.0	4.0	1.0	0.0	10.0	35.0	0.0	10.0	1.0	1.0	0.0	317.0	10.0	5.0	3.0	0.0	3.0	0.0	6.0	1.0	0.0	35.0	32.0	4.0	3.0	26.0	4.0	16.0	4.0	0.0	5.0	2.0	0.0	4.0	0.0	0.0	22.0	7.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	37.0	5.0	0.0	2.0	9.0	0.0
SC119	endothelial_vascular	SSC	HC	tabib2021	skin	3516629.0	155.0	447.0	329.0	42.0	1608.0	41.0	76.0	11.0	283.0	1.0	1160.0	1.0	63.0	0.0	1.0	270.0	0.0	3.0	226.0	0.0	532.0	18.0	0.0	2.0	0.0	104.0	192.0	136.0	20.0	19.0	2.0	109.0	0.0	1.0	1154.0	117.0	0.0	60.0	66.0	0.0	5.0	206.0	17.0	236.0	554.0	123.0	56.0	10.0	2068.0	449.0	491.0	0.0	59.0	11.0	552.0	4.0	817.0	3.0	162.0	549.0	8426.0	90.0	548.0	443.0	166.0	269.0	50.0	196.0	2701.0	7087.0	0.0	122.0	3.0	0.0	40.0	1.0	125.0	0.0	74.0	4077.0	32.0	491.0	163.0	0.0	175.0	67.0	832.0	166.0	28.0	190.0	110.0	496.0	11.0	23.0	310.0	58.0	353.0	3.0	403.0	63.0	45.0	32.0	162.0	76.0	37.0	49.0	0.0	0.0	42.0	1377.0	13.0	27.0	47.0	181.0	90.0	146.0	0.0	57.0	23.0	53.0	91.0	23.0	183.0	2080.0	53.0	54.0	112.0	191.0	199.0	839.0	23.0	98.0	76.0	267.0	104.0	12.0	77.0	39.0	248.0	1582.0	8.0	254.0	208.0	2.0	59.0	1224.0	105.0	172.0	92.0	63.0	46.0	34.0	84.0	111.0	145.0	75.0	3863.0	62.0	63.0	612.0	120.0	348.0	226.0	3.0	66.0	80.0	19.0	0.0	24.0	126.0	136.0	1036.0	176.0	95.0	115.0	10.0	0.0	0.0	0.0	534.0	17.0	0.0	0.0	2.0	16.0	23.0	37.0	1010.0	133.0	758.0	88.0	107.0	197.0	136.0	24.0
SC119	fibroblast_other	SSC	HC	tabib2021	skin	1114780.0	34.0	117.0	52.0	19.0	5.0	30.0	1.0	1.0	23.0	0.0	119.0	0.0	4.0	0.0	0.0	32.0	0.0	0.0	4.0	0.0	11.0	5.0	0.0	16.0	41.0	8331.0	7484.0	4785.0	224.0	278.0	969.0	25.0	19.0	3.0	475.0	5.0	0.0	7.0	0.0	1.0	2.0	12.0	38.0	38.0	243.0	40.0	7.0	62.0	253.0	433.0	39.0	0.0	9.0	4.0	72.0	1.0	350.0	0.0	2.0	38.0	259.0	32.0	152.0	30.0	14.0	24.0	10.0	26.0	433.0	1957.0	0.0	12.0	3.0	1.0	251.0	0.0	23.0	0.0	7.0	9.0	15.0	183.0	70.0	0.0	20.0	11.0	97.0	20.0	21.0	19.0	2.0	86.0	7.0	7.0	2.0	6.0	75.0	2.0	26.0	278.0	22.0	171.0	188.0	3.0	5.0	29.0	0.0	0.0	9.0	145.0	13.0	7.0	0.0	3.0	30.0	44.0	0.0	34.0	15.0	3.0	1.0	124.0	191.0	3.0	19.0	11.0	70.0	1128.0	2.0	110.0	3.0	14.0	27.0	29.0	33.0	2.0	4.0	14.0	116.0	338.0	5.0	76.0	35.0	0.0	3.0	1270.0	73.0	50.0	20.0	24.0	9.0	8.0	20.0	17.0	121.0	9.0	287.0	47.0	63.0	127.0	28.0	101.0	79.0	0.0	17.0	17.0	0.0	1.0	7.0	1.0	37.0	81.0	103.0	7.0	26.0	3.0	0.0	0.0	0.0	68.0	107.0	0.0	0.0	102.0	33.0	13.0	29.0	2.0	44.0	79.0	28.0	25.0	92.0	155.0	9.0
SC119	keratinocyte	SSC	HC	tabib2021	skin	27843623.0	1087.0	163.0	514.0	4.0	31.0	139.0	38.0	286.0	339.0	3.0	30.0	11.0	396.0	0.0	3.0	405.0	3.0	64.0	3.0	2.0	7.0	69.0	4.0	52.0	231.0	245.0	181.0	108.0	58.0	58.0	35.0	927.0	32.0	3.0	124.0	360.0	2.0	340.0	1.0	49.0	2.0	1526.0	41.0	6.0	8241.0	167.0	469.0	1.0	3238.0	44.0	1615.0	1.0	364.0	2483.0	1419.0	968.0	4946.0	14.0	94.0	981.0	1944.0	69.0	133.0	65.0	23.0	27.0	53.0	68.0	402.0	4013.0	0.0	97.0	65.0	25.0	175.0	0.0	186.0	0.0	206.0	127.0	571.0	995.0	3376.0	5.0	569.0	114.0	147.0	442.0	127.0	1188.0	307.0	1810.0	77.0	103.0	4.0	456.0	3467.0	131.0	106.0	15.0	2.0	12.0	654.0	98.0	378.0	341.0	0.0	2.0	159.0	32808.0	5.0	2075.0	1.0	668.0	777.0	810.0	14.0	161.0	25.0	289.0	43.0	8.0	18.0	25.0	153.0	127.0	1230.0	4891.0	711.0	2105.0	644.0	923.0	283.0	882.0	1485.0	155.0	92.0	192.0	1724.0	4703.0	27.0	815.0	303.0	75.0	10.0	1180.0	38.0	904.0	864.0	281.0	461.0	379.0	802.0	81.0	2269.0	171.0	1910.0	300.0	175.0	2163.0	539.0	3317.0	1329.0	72.0	268.0	240.0	5.0	0.0	3.0	3.0	677.0	202.0	252.0	1039.0	1917.0	35.0	1.0	0.0	0.0	87.0	96.0	1.0	0.0	10.0	2.0	28.0	581.0	28.0	35.0	5510.0	785.0	1118.0	80.0	25.0	142.0
