species_id	hgnc_symbol	uniprot	ensembl	chebi	compartment	module	taxonomy	notes
ISG20__nuc	ISG20				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: ISG20
GBP2__cyto	GBP2				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: GBP2
IFIT2__cyto	IFIT2				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFIT2
IFI27__mito	IFI27				mitochondrion	M1	9606	imported from pilot_R-HSA-909733; raw name: IFI27
XAF1__cyto	XAF1				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: XAF1
IFITM2__cyto	IFITM2				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFITM2
RNASEL__cyto	RNASEL				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: RNASEL
IP6K2__nuc	IP6K2				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: IP6K2
IFITM3__cyto	IFITM3				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFITM3
Mx_space_GTPases__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: Mx_space_GTPases
IRF_space_1_minus_9__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IRF_space_1_minus_9
OAS_space_proteins__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: OAS_space_proteins
ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements__nuc					nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements
EGR1__cyto	EGR1				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: EGR1
ATP__cyto	ATP				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: ATP
PTPN11__cyto	PTPN11				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: PTPN11
EIF2AK2__cyto	EIF2AK2				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: EIF2AK2
PSMB8__nuc	PSMB8				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: PSMB8
KPNA1__cyto	KPNA1				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: KPNA1
KPNB1__nuc	KPNB1				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: KPNB1
KPNB1__cyto	KPNB1				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: KPNB1
KPNA1__nuc	KPNA1				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: KPNA1
PTPN6__cyto	PTPN6				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: PTPN6
IFITM1__cyto	IFITM1				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFITM1
PTPN1__cyto	PTPN1				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: PTPN1
H2O__cyto	H2O				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: H2O
ADP__cyto	ADP				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: ADP
Pi__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: Pi
STAT1_minus_1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: STAT1_minus_1
STAT1__cyto	STAT1				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: STAT1
PTPN6_PTPN11__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: PTPN6,PTPN11
ABCE1__mito	ABCE1				mitochondrion	M1	9606	imported from pilot_R-HSA-909733; raw name: ABCE1
ABCE1_x_RNASEL_space_dimer__mito					mitochondrion	M1	9606	imported from pilot_R-HSA-909733; raw name: ABCE1:RNASEL_space_dimer
RNASEL_space_dimer__mito					mitochondrion	M1	9606	imported from pilot_R-HSA-909733; raw name: RNASEL_space_dimer
ADAR__nuc	ADAR				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: ADAR
BST2__extracel	BST2				extracellular_space_exosome	M1	9606	imported from pilot_R-HSA-909733; raw name: BST2
SAMHD1__nuc	SAMHD1				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: SAMHD1
RSAD2__endoplas	RSAD2				endoplasmic_space_reticulum_space_lumen	M1	9606	imported from pilot_R-HSA-909733; raw name: RSAD2
SOCS_minus_1_space_and_space_SOCS_minus_3__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: SOCS_minus_1_space_and_space_SOCS_minus_3
IFNAR2_minus_2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNAR2_minus_2
IRF9__cyto	IRF9				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IRF9
STAT2__cyto	STAT2				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: STAT2
Type_space_I_space_IFN_minus_regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements__nuc					nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: Type_space_I_space_IFN_minus_regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements
IFN_space_alpha_slash_beta_space_IFNA_slash_B__def					default	M1	9606	imported from pilot_R-HSA-909733; raw name: IFN_space_alpha_slash_beta_space_(IFNA_slash_B)
IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2_x_p_minus_IFNAR1_x_p_minus_TYK2_x_STAT2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2:p_minus_IFNAR1:p_minus_TYK2:STAT2
IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2_x_p_minus_IFNAR1_x_p_minus_TYK2_x_p_minus_STAT2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2:p_minus_IFNAR1:p_minus_TYK2:p_minus_STAT2
ISGF3__cyto	ISGF3				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: ISGF3
p_minus_STAT2_x_p_minus_STAT1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_STAT2:p_minus_STAT1
IFNA_slash_B_x_IFNAR2_x_JAK1_x_STAT2_x_IFNAR1_x_TYK2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2
IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2_x_p_minus_IFNAR1_x_p_minus_TYK2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2:p_minus_IFNAR1:p_minus_TYK2
IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2_x_IFNAR1_x_p_minus_TYK2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2:IFNAR1:p_minus_TYK2
IFNAR1_x_TYK2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNAR1:TYK2
IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2_x_p_minus_IFNAR1_x_p_minus_TYK2_x_p_minus_STAT2_x_p_minus_STAT1__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2:p_minus_IFNAR1:p_minus_TYK2:p_minus_STAT2:p_minus_STAT1
USP18__cyto	USP18				cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: USP18
p_minus_TYK2_x_p_minus_IFNAR1_x_SOCS_minus_1_slash_SOCS_minus_3_x_IFNA_slash_B_x_IFNAR2_x_p_minus_JAK1_x_STAT2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_TYK2:p_minus_IFNAR1:SOCS_minus_1_slash_SOCS_minus_3:IFNA_slash_B:IFNAR2:p_minus_JAK1:STAT2
IFNAR2c_x_UBP43__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNAR2c:UBP43
p_minus_Y701_minus_STAT1_minus_1_space_dimer__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_Y701_minus_STAT1_minus_1_space_dimer
p_minus_Y701_minus_STAT1_space_dimer__nuc					nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: p_minus_Y701_minus_STAT1_space_dimer
ISGF3__nuc	ISGF3				nucleoplasm	M1	9606	imported from pilot_R-HSA-909733; raw name: ISGF3
IFNAR2_x_JAK1_x_STAT2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNAR2:JAK1:STAT2
IFNA_slash_B_x_IFNAR2_x_JAK1_x_STAT2__cyto					cytosol	M1	9606	imported from pilot_R-HSA-909733; raw name: IFNA_slash_B:IFNAR2:JAK1:STAT2
