reaction_id	module	interaction	cited_pmid_WRONG	cited_paper_title	proposed_replacement_pmids	rationale
ssc_M1_002	M1	cGAMP cyto;TMEM173 cyto→TMEM173_active er	22094255	Oxidative damage targets complexes containing DNA methyltransferases, SIRT1, and polycomb members to promoter CpG Islands.	27324217	Biology (cGAMP binds STING, triggers ER-Golgi trafficking) is canonical, BUT the cited PMID 22094255 is an unrelated paper (oxidative damage / DNA methyltransferases in cancer). Citation must be replaced.
ssc_M1_003	M1	TMEM173_active er;TBK1 cyto→IRF3_p nuc	22810585	Viral immune modulators perturb the human molecular network by common and unique strategies.	36923406	STING→TBK1→IRF3 phosphorylation is canonical, but cited PMID 22810585 is unrelated ('Viral immune modulators perturb the human molecular network'). Replace citation.
ssc_M1_005	M1	TLR3 endo;TICAM1 cyto→IRF7_p nuc	14528265	Finding the right organelle. Targeting signals in mitochondrial outer-membrane proteins.		TLR3/TRIF nucleic-acid sensing is real (classically →IRF3, also IRF7), but cited PMID 14528265 is unrelated (mitochondrial outer-membrane targeting signals). Replace citation; double-check IRF7 vs IRF3.
ssc_M1_006	M1	TLR7 endo;TLR9 endo→IRF7_p nuc	15728479	Inhibition of granulocyte-macrophage colony-stimulating factor signaling and microglial proliferation by anti-CD45RO: role of Hck tyrosine kinase and phosphatidylinositol 3-kinase/Akt.	32111355	TLR7/9→MyD88→IRF7 is canonical, but cited PMID 15728479 is unrelated (GM-CSF/microglia). Replace citation (e.g. dossier 32111355, Spi-B/IFN-α4).
ssc_M1_008	M1	DDX58 cyto;MAVS cyto→DDX58_MAVS mito	15208629	BubR1 insufficiency causes early onset of aging-associated phenotypes and infertility in mice.		RIG-I (DDX58) senses cytosolic dsRNA and recruits MAVS — canonical, but cited PMID 15208629 is unrelated (BubR1 / aging). Replace citation.
ssc_M1_009	M1	DDX58_MAVS mito;IKBKE cyto→IRF3_p nuc	17601859	Measuring tobacco smoke exposure among smoking and nonsmoking bar and restaurant workers.		DDX58:MAVS→IKBKE→IRF3 is established, but cited PMID 17601859 is unrelated (tobacco-smoke biomarker in bar workers). Replace citation.
ssc_M2_001	M2	LAP ecm;LTBP1 ecm→TGFB1 ext	11257233	A.E. Bennett Research Award. Prenatal rubella, premorbid abnormalities, and adult schizophrenia.	11907708;24216753	Latent TGF-β1 (LAP+LTBP1) release/activation is canonical, but cited PMID 11257233 is unrelated (schizophrenia/rubella). The dossier's own 11907708 ('first stage of TGF-β1 activation is release of the large latent complex') is a precise replacement.
ssc_M2_002	M2	THBS1 ecm;LAP ecm→TGFB1 ext	7935446	Cap-dependent and cap-independent translation by internal initiation of mRNAs in cell extracts prepared from Saccharomyces cerevisiae.		Thrombospondin-1 activates latent TGF-β — established (Murphy-Ullrich), but cited PMID 7935446 is unrelated (yeast translation). Replace citation.
ssc_M2_003	M2	TGFB1 ext→TGFB1_TGFBR2_TGFBR1 cyto	7774572	Binding of syndecan-like cell surface proteoglycan receptors is required for Neisseria gonorrhoeae entry into human mucosal cells.		TGF-β1 binds TGFBR2/TGFBR1 — textbook receptor biology, but cited PMID 7774572 is unrelated (gonococcal invasion). Replace with a TGF-β receptor reference.
ssc_M2_004	M2	SMAD3 cyto;TGFB1_TGFBR2_p_TGFBR1 cyto→SMAD3_p cyto	8674513	Normally occurring loss of single cells and repair of resulting defects in retinal pigment epithelium in situ.	31531112	TGFBR1 phosphorylates SMAD2/3 — canonical, but cited PMID 8674513 is unrelated (retinal pigment epithelium). Replace citation.
