species_id	log2fc	color
ADAR__nuc	0.506	#d7191c
ARNT__cyto	0.591	#d7191c
CD19__pm	-2.031	#2c7fb8
COL5A2__ext	3.146	#d7191c
CRLF1__cyto	2.252	#d7191c
DDX58__cyto	0.673	#d7191c
EIF2AK2__cyto	0.492	#d7191c
FSP1__pm	-1.185	#2c7fb8
IL13RA1__ext	0.490	#d7191c
ISG20__nuc	-0.921	#2c7fb8
JAG1__cyto	0.837	#d7191c
LOXL2__ecm	3.392	#d7191c
LTBP1__ecm	1.497	#d7191c
LTBP4__ext	1.210	#d7191c
MAVS__cyto	0.486	#d7191c
MTMR4__endo	0.861	#d7191c
MYC__nuc	-0.647	#2c7fb8
NOTCH3__pm	2.326	#d7191c
PDE5A__cyto	2.106	#d7191c
PDGFA__ext	1.363	#d7191c
PDGFRB__pm	3.044	#d7191c
PLCG1__cyto	0.985	#d7191c
PMEPA1__cyto	1.109	#d7191c
POSTN__ecm	1.981	#d7191c
RNASEL__cyto	0.972	#d7191c
ROCK1__cyto	0.483	#d7191c
STAT1__cyto	0.821	#d7191c
STAT2__cyto	0.828	#d7191c
STAT6__cyto	0.263	#d7191c
