species_id	log2fc	color
ABCE1__mito	0.915	#d7191c
ACTA2__cyto	2.838	#d7191c
CBL__cyto	0.691	#d7191c
COL1A1__ext	3.725	#d7191c
COL1A2__ext	5.130	#d7191c
COL3A1__ext	2.822	#d7191c
COL5A1__ext	2.407	#d7191c
COX_2__er	-1.269	#2c7fb8
DTX__cyto	-1.985	#2c7fb8
IL6__ext	-1.803	#2c7fb8
IRF7__cyto	-0.831	#2c7fb8
JAG1__cyto	1.183	#d7191c
JAG2__cyto	1.325	#d7191c
KPNA1__cyto	0.803	#d7191c
LIF__ext	-3.299	#2c7fb8
MAVS__cyto	0.632	#d7191c
NOTCH3__pm	4.923	#d7191c
PCAF__nuc	-0.751	#2c7fb8
PDGFB__ext	2.624	#d7191c
PDGFRB__pm	6.051	#d7191c
SMAD2__cyto	0.329	#d7191c
SOCS1__cyto	-1.848	#2c7fb8
TBXA2R__pm	1.568	#d7191c
THBS1__ecm	1.072	#d7191c
TLE__nuc	-0.878	#2c7fb8
XBP1__nuc	-0.929	#2c7fb8
