species_id	log2fc	color
ACTA2__cyto	0.941	#d7191c
BAMBI__cyto	-0.424	#2c7fb8
CD40__pm	-0.275	#2c7fb8
COL1A1__ext	1.455	#d7191c
COL1A2__ext	1.018	#d7191c
COL3A1__ext	1.566	#d7191c
COL5A1__ext	0.629	#d7191c
COL5A2__ext	0.813	#d7191c
COMP__ecm	1.052	#d7191c
FAP__pm	0.465	#d7191c
FN1__ecm	0.843	#d7191c
IL13RA1__ext	0.229	#d7191c
LTBP1__ecm	0.579	#d7191c
MYC__nuc	-1.055	#2c7fb8
PDE5A__cyto	0.322	#d7191c
POSTN__ecm	2.139	#d7191c
SOCS3__cyto	-0.948	#2c7fb8
STAT1__cyto	0.214	#d7191c
STAT2__cyto	0.213	#d7191c
TGFB1__ext	0.297	#d7191c
XBP1__nuc	-0.629	#2c7fb8
