species_id	log2fc	color
CLCF1__ext	-1.360	#2c7fb8
COL1A1__ext	3.962	#d7191c
COL1A2__ext	2.480	#d7191c
COL3A1__ext	4.017	#d7191c
DDX58__cyto	0.770	#d7191c
FN1__ecm	1.842	#d7191c
GATA3__nuc	-1.310	#2c7fb8
GBP2__cyto	0.780	#d7191c
HEY__nuc	-1.691	#2c7fb8
IL11RA__cyto	0.508	#d7191c
IRF4__nuc	-1.121	#2c7fb8
LYN__cyto	0.222	#d7191c
NOTCH1__cyto	-0.902	#2c7fb8
POSTN__ecm	2.508	#d7191c
PTPN2__cyto	0.309	#d7191c
SAMHD1__nuc	0.779	#d7191c
SMURF1__nuc	-0.401	#2c7fb8
SNAI2__nuc	-1.784	#2c7fb8
STAT1__cyto	0.628	#d7191c
XBP1__nuc	-0.718	#2c7fb8
