species_id	log2fc	color
ANGPT2__ext	1.041	#d7191c
ARRB__cyto	-0.850	#2c7fb8
CD31__pm	1.387	#d7191c
CNTFR__cyto	-0.992	#2c7fb8
CNTN1__cyto	-0.532	#2c7fb8
COL5A2__ext	0.404	#d7191c
COMP__ecm	1.403	#d7191c
CREB3L1__nuc	-0.484	#2c7fb8
CRLF1__cyto	1.340	#d7191c
DPP4__pm	-1.020	#2c7fb8
EGFR__pm	-0.409	#2c7fb8
EGR1__cyto	0.624	#d7191c
FNDC1__ext	0.831	#d7191c
FSP1__pm	-0.650	#2c7fb8
IFI27__mito	1.193	#d7191c
IFI6__cyto	0.872	#d7191c
IL13RA1__ext	-0.447	#2c7fb8
JUNB__nuc	0.736	#d7191c
LGALS3__ext	-0.409	#2c7fb8
LTBP1__ecm	-0.718	#2c7fb8
LTBP4__ext	-0.784	#2c7fb8
NOTCH2__pm	-0.352	#2c7fb8
PDGFRA__cyto	-0.409	#2c7fb8
POSTN__ecm	0.726	#d7191c
RHOA__cyto	-0.394	#2c7fb8
SFRP2__ext	-0.567	#2c7fb8
SMAD3__cyto	-0.571	#2c7fb8
SOCS1__cyto	-1.102	#2c7fb8
STAT1__cyto	0.690	#d7191c
STAT6__cyto	-0.380	#2c7fb8
TNC__ecm	1.009	#d7191c
TWIST1__nuc	-0.368	#2c7fb8
XAF1__cyto	0.792	#d7191c
