species_id	log2fc	color
ANGPT2__ext	1.086	#d7191c
CBL__cyto	1.281	#d7191c
COL1A2__ext	-0.287	#2c7fb8
COL5A2__ext	0.387	#d7191c
COMP__ecm	1.184	#d7191c
CREB3L1__nuc	-0.706	#2c7fb8
DPP4__pm	-1.106	#2c7fb8
FLI1__nuc	1.329	#d7191c
FNDC1__ext	1.197	#d7191c
FSP1__pm	-0.491	#2c7fb8
IFI27__mito	1.806	#d7191c
IFI6__cyto	0.803	#d7191c
IFITM1__cyto	0.674	#d7191c
IFITM3__cyto	0.513	#d7191c
ISG15__cyto	1.487	#d7191c
JUNB__nuc	0.904	#d7191c
LGALS3__ext	-0.398	#2c7fb8
LTBP1__ecm	-0.515	#2c7fb8
NOTCH2__pm	-0.479	#2c7fb8
PDGFA__ext	1.178	#d7191c
PLAUR__pm	1.443	#d7191c
RUNX1__nuc	0.941	#d7191c
SFRP2__ext	-0.565	#2c7fb8
SFRP4__ext	1.348	#d7191c
SMAD3__cyto	-0.629	#2c7fb8
STAT6__cyto	-0.450	#2c7fb8
TBX2__nuc	1.532	#d7191c
TICAM1__cyto	-0.915	#2c7fb8
TWIST1__nuc	-0.556	#2c7fb8
VWF__pm	1.289	#d7191c
XAF1__cyto	0.848	#d7191c
