species_id	log2fc	color
ACTA2__cyto	0.496	#d7191c
ADAR__nuc	0.246	#d7191c
CD31__pm	0.492	#d7191c
COL5A1__ext	0.228	#d7191c
COL5A2__ext	0.380	#d7191c
COMP__ecm	0.448	#d7191c
CTGF__ext	0.627	#d7191c
EDNRA__pm	0.332	#d7191c
EGR1__cyto	0.541	#d7191c
HES1__nuc	0.235	#d7191c
IFI27__mito	0.713	#d7191c
IFI6__cyto	0.407	#d7191c
IFITM1__cyto	0.441	#d7191c
IFITM3__cyto	0.390	#d7191c
IL6__ext	0.306	#d7191c
ISG15__cyto	0.232	#d7191c
KPNB1__nuc	0.208	#d7191c
MYC__nuc	0.319	#d7191c
NOTCH3__pm	0.245	#d7191c
POSTN__ecm	0.360	#d7191c
ROCK2__cyto	0.248	#d7191c
SAMHD1__nuc	0.253	#d7191c
SMAD2__cyto	0.201	#d7191c
SOCS3__cyto	0.375	#d7191c
TGFBR2__cyto	0.358	#d7191c
TNC__ecm	0.210	#d7191c
VWF__pm	0.320	#d7191c
