species_id	log2fc	color
ANGPT2__ext	1.232	#d7191c
BST2__ext	1.508	#d7191c
CD31__pm	0.598	#d7191c
CNTFR__cyto	-1.467	#2c7fb8
CNTN1__cyto	-0.734	#2c7fb8
COL1A2__ext	-0.295	#2c7fb8
COL5A2__ext	0.477	#d7191c
CTGF__ext	0.777	#d7191c
FSP1__pm	-0.442	#2c7fb8
HIF1A__nuc	1.120	#d7191c
IFI27__mito	1.250	#d7191c
IFITM3__cyto	0.395	#d7191c
LOX__ecm	-0.762	#2c7fb8
LTBP1__ecm	-0.924	#2c7fb8
NOS3__pm	-0.255	#2c7fb8
OSMR__cyto	1.214	#d7191c
PDGFRA__cyto	-0.620	#2c7fb8
SMAD3__cyto	-0.841	#2c7fb8
THBS1__ecm	1.038	#d7191c
