species_id	log2fc	color
CD31__pm	0.332	#d7191c
COL1A1__ext	0.474	#d7191c
COL5A1__ext	0.277	#d7191c
COL5A2__ext	0.292	#d7191c
COMP__ecm	0.414	#d7191c
CTGF__ext	0.704	#d7191c
EGR1__cyto	0.640	#d7191c
EIF2AK2__cyto	0.218	#d7191c
IFI27__mito	0.717	#d7191c
IFI6__cyto	0.372	#d7191c
IFIT3__cyto	0.257	#d7191c
IFITM1__cyto	0.435	#d7191c
IFITM3__cyto	0.630	#d7191c
IL6ST__cyto	0.362	#d7191c
IL6__ext	0.333	#d7191c
ISG15__cyto	0.319	#d7191c
JAG1__cyto	0.287	#d7191c
KPNB1__nuc	0.202	#d7191c
MYC__nuc	0.245	#d7191c
NOTCH3__pm	0.260	#d7191c
PMEPA1__cyto	0.243	#d7191c
POSTN__ecm	0.743	#d7191c
ROCK2__cyto	0.239	#d7191c
SOCS3__cyto	0.457	#d7191c
STAT1__cyto	0.271	#d7191c
