species_id	log2fc	color
BCMA__ext	1.382	#d7191c
BLK__cyto	0.303	#d7191c
BST2__ext	0.981	#d7191c
BTK__cyto	0.635	#d7191c
CD22__pm	0.680	#d7191c
CD40__pm	0.607	#d7191c
CD79B__pm	0.861	#d7191c
DDX58__cyto	1.532	#d7191c
HIF1A__nuc	-0.585	#2c7fb8
IFI35__cyto	1.425	#d7191c
IFIT2__cyto	0.808	#d7191c
IL13RA1__ext	0.852	#d7191c
IRF7__cyto	1.237	#d7191c
JAK2__cyto	0.755	#d7191c
MS4A1__pm	0.368	#d7191c
NUMB__cyto	0.592	#d7191c
PSMB8__nuc	0.846	#d7191c
PTPN1__cyto	-0.683	#2c7fb8
PTPN6__cyto	0.955	#d7191c
RAPGEF1__cyto	-0.455	#2c7fb8
RASA1__cyto	0.933	#d7191c
SAMHD1__nuc	1.428	#d7191c
STRAP__cyto	-0.550	#2c7fb8
STUB1__cyto	0.430	#d7191c
SYK__cyto	0.578	#d7191c
TGFB1__ext	-0.255	#2c7fb8
TGFBR2__cyto	0.490	#d7191c
THBS1__ecm	3.693	#d7191c
TLE__nuc	0.495	#d7191c
TLR7__endo	1.441	#d7191c
USP18__cyto	2.628	#d7191c
XPO1__nuc	0.745	#d7191c
ZEB2__nuc	0.691	#d7191c
