species_id	log2fc	color
ABCE1__mito	0.590	#d7191c
ANGPT2__ext	1.528	#d7191c
ARRB__cyto	0.844	#d7191c
BCMA__ext	2.763	#d7191c
BST2__ext	0.687	#d7191c
CD79A__pm	-1.458	#2c7fb8
FOSL2__nuc	-1.396	#2c7fb8
FURIN__golgi	-0.641	#2c7fb8
HIF1A__nuc	-1.189	#2c7fb8
IFI35__cyto	0.846	#d7191c
IFITM2__cyto	0.394	#d7191c
IFNAR2_iso2__cyto	0.445	#d7191c
IL4R__ext	-0.661	#2c7fb8
IL6ST__cyto	-1.270	#2c7fb8
IRF7__cyto	0.982	#d7191c
JAG1__cyto	-2.236	#2c7fb8
JAK2__cyto	0.607	#d7191c
NUMB__cyto	0.778	#d7191c
PSMB8__nuc	0.876	#d7191c
PTPN6__cyto	1.736	#d7191c
RASA1__cyto	0.975	#d7191c
RHOA__cyto	0.353	#d7191c
SAMHD1__nuc	1.114	#d7191c
SMAD2__cyto	0.453	#d7191c
SMURF1__nuc	-0.865	#2c7fb8
SMURF2__cyto	0.593	#d7191c
STRAP__cyto	-0.345	#2c7fb8
TAZ__cyto	0.378	#d7191c
TBX21__nuc	0.292	#d7191c
TGFB1__ext	-0.370	#2c7fb8
TMEM173__cyto	0.915	#d7191c
XBP1__nuc	0.480	#d7191c
XPO1__nuc	0.842	#d7191c
