species_id	log2fc	color
ABCE1__mito	0.448	#d7191c
ANGPT2__ext	0.691	#d7191c
ARRB__cyto	0.759	#d7191c
BCMA__ext	2.031	#d7191c
BTK__cyto	0.330	#d7191c
CLCF1__ext	-0.865	#2c7fb8
COX_2__er	2.374	#d7191c
EGR1__cyto	1.458	#d7191c
FURIN__golgi	-0.835	#2c7fb8
HIF1A__nuc	-1.218	#2c7fb8
IL6R__cyto	0.393	#d7191c
IRF4__nuc	-1.052	#2c7fb8
JAG1__cyto	-0.760	#2c7fb8
JAK2__cyto	0.729	#d7191c
MAVS__cyto	0.393	#d7191c
MTMR4__endo	0.632	#d7191c
MYC__nuc	1.766	#d7191c
PSMB8__nuc	0.680	#d7191c
PTPN1__cyto	-0.337	#2c7fb8
PTPN6__cyto	0.726	#d7191c
RAPGEF1__cyto	-0.590	#2c7fb8
RASA1__cyto	1.033	#d7191c
RNASEL__cyto	2.016	#d7191c
ROCK2__cyto	0.736	#d7191c
SAMHD1__nuc	0.401	#d7191c
SMAD2__cyto	0.387	#d7191c
SMAD3__cyto	-0.771	#2c7fb8
SMAD7__cyto	-2.278	#2c7fb8
SMURF1__nuc	-0.482	#2c7fb8
SNAI1__nuc	-1.311	#2c7fb8
STAT6__cyto	0.456	#d7191c
TBK1__cyto	-0.396	#2c7fb8
TGFBR2__cyto	0.427	#d7191c
TLR7__endo	1.254	#d7191c
TMEM173__cyto	0.348	#d7191c
VEGFA__ext	-0.530	#2c7fb8
XPO1__nuc	1.034	#d7191c
ZEB2__nuc	0.500	#d7191c
