species_id	log2fc	color
ABCE1__mito	0.607	#d7191c
ARRB__cyto	0.413	#d7191c
COX_2__er	2.567	#d7191c
DDX58__cyto	1.578	#d7191c
EDN1__ext	2.637	#d7191c
FURIN__golgi	-0.707	#2c7fb8
HIF1A__nuc	-1.225	#2c7fb8
IFI35__cyto	0.800	#d7191c
ITCH__cyto	-0.428	#2c7fb8
JAG1__cyto	-2.334	#2c7fb8
JAK2__cyto	0.746	#d7191c
MYC__nuc	3.118	#d7191c
PSMB8__nuc	0.672	#d7191c
PTPN6__cyto	0.741	#d7191c
RAPGEF1__cyto	-0.495	#2c7fb8
RASA1__cyto	0.636	#d7191c
RNASEL__cyto	1.858	#d7191c
SMAD3__cyto	-1.391	#2c7fb8
SMAD7__cyto	-1.015	#2c7fb8
STAT6__cyto	0.299	#d7191c
SYK__cyto	0.595	#d7191c
TGFBR2__cyto	0.571	#d7191c
XPO1__nuc	0.590	#d7191c
