species_id	log2fc	color
ARNT__cyto	0.449	#d7191c
BCMA__ext	1.838	#d7191c
BTK__cyto	0.703	#d7191c
HIF1A__nuc	-0.697	#2c7fb8
IFITM1__cyto	-2.982	#2c7fb8
IKBKE__cyto	0.724	#d7191c
IL6R__cyto	1.074	#d7191c
IL6ST__cyto	-0.966	#2c7fb8
IRF4__nuc	-0.967	#2c7fb8
IRF7__cyto	0.767	#d7191c
JAG1__cyto	-1.056	#2c7fb8
JAK2__cyto	0.336	#d7191c
MAVS__cyto	0.270	#d7191c
MTMR4__endo	0.653	#d7191c
NUMB__cyto	0.210	#d7191c
PCAF__nuc	-0.309	#2c7fb8
PDE5A__cyto	-1.656	#2c7fb8
PDGFB__ext	2.038	#d7191c
PI3K__cyto	-0.374	#2c7fb8
PMEPA1__cyto	0.492	#d7191c
PSMB8__nuc	0.843	#d7191c
PTPN6__cyto	0.671	#d7191c
RASA1__cyto	0.753	#d7191c
RHOA__cyto	0.218	#d7191c
RNASEL__cyto	2.327	#d7191c
ROCK2__cyto	0.994	#d7191c
SAMHD1__nuc	0.701	#d7191c
SMAD2__cyto	0.572	#d7191c
SMAD4__cyto	-0.206	#2c7fb8
SMURF1__nuc	-0.781	#2c7fb8
SMURF2__cyto	0.396	#d7191c
STAT6__cyto	0.209	#d7191c
STRAP__cyto	0.242	#d7191c
STUB1__cyto	0.263	#d7191c
SYK__cyto	0.246	#d7191c
TGFBR2__cyto	0.229	#d7191c
TLE__nuc	0.839	#d7191c
XBP1__nuc	-0.320	#2c7fb8
XPO1__nuc	0.936	#d7191c
