species_id	log2fc	color
BCAR1__cyto	0.817	#d7191c
COL1A1__ext	1.253	#d7191c
COL1A2__ext	0.795	#d7191c
COL5A1__ext	0.756	#d7191c
COL5A2__ext	1.559	#d7191c
COMP__ecm	1.496	#d7191c
CTGF__ext	0.807	#d7191c
FOSL2__nuc	0.933	#d7191c
IFI6__cyto	0.906	#d7191c
IFITM2__cyto	0.557	#d7191c
IFITM3__cyto	0.837	#d7191c
IFNAR2_iso2__cyto	0.628	#d7191c
IRF7__cyto	0.809	#d7191c
LOX__ecm	0.581	#d7191c
LTBP4__ext	-1.458	#2c7fb8
OSMR__cyto	1.092	#d7191c
POSTN__ecm	1.532	#d7191c
STAT1__cyto	1.485	#d7191c
STAT2__cyto	0.677	#d7191c
TGFBR2__cyto	0.725	#d7191c
THBS1__ecm	1.953	#d7191c
TMEM173__cyto	0.665	#d7191c
TNC__ecm	2.438	#d7191c
