species_id	log2fc	color
BCAR1__cyto	0.661	#d7191c
BST2__ext	0.613	#d7191c
COL1A1__ext	1.060	#d7191c
COL1A2__ext	1.244	#d7191c
COL3A1__ext	1.336	#d7191c
COL5A2__ext	1.176	#d7191c
EGR1__cyto	0.625	#d7191c
FKBP1A__cyto	0.549	#d7191c
IFI27__mito	1.867	#d7191c
IFI35__cyto	0.929	#d7191c
IFI6__cyto	1.521	#d7191c
IFIT2__cyto	1.357	#d7191c
IFIT3__cyto	1.307	#d7191c
IFITM1__cyto	2.016	#d7191c
IFITM2__cyto	1.035	#d7191c
IFITM3__cyto	1.184	#d7191c
IFNAR2_iso2__cyto	1.190	#d7191c
IKBKE__cyto	2.160	#d7191c
IL13RA1__ext	0.560	#d7191c
IL6R__cyto	-0.511	#2c7fb8
IRF7__cyto	0.868	#d7191c
LOXL2__ecm	0.914	#d7191c
LOX__ecm	1.564	#d7191c
LYN__cyto	1.037	#d7191c
OSMR__cyto	0.921	#d7191c
PSMB8__nuc	0.459	#d7191c
SAMHD1__nuc	0.888	#d7191c
SNAI1__nuc	1.571	#d7191c
TMEM173__cyto	0.525	#d7191c
TNFSF13B__ext	3.481	#d7191c
